episode,step,burst_local_hit,burst_edge_hit
1.0,0.0,0.25,0.75
1.0,1.0,0.8,1.0
1.0,2.0,0.0,0.0
1.0,3.0,1.0,1.0
1.0,4.0,1.0,1.0
1.0,5.0,1.0,1.0
1.0,6.0,0.0,1.0
1.0,7.0,0.0,0.0
1.0,8.0,1.0,1.0
1.0,9.0,0.0,0.0
1.0,10.0,0.5325443786982249,0.621301775147929
1.0,11.0,1.0,1.0
1.0,12.0,1.0,1.0
1.0,13.0,1.0,1.0
1.0,14.0,1.0,1.0
1.0,15.0,1.0,1.0
1.0,16.0,0.2857142857142857,0.6547619047619048
1.0,17.0,0.29878048780487804,0.6463414634146342
1.0,18.0,0.3125,0.65
1.0,19.0,0.8493975903614458,1.0
1.0,20.0,1.0,1.0
1.0,21.0,1.0,1.0
1.0,22.0,0.0,0.0
1.0,23.0,1.0,1.0
1.0,24.0,1.0,1.0
1.0,25.0,0.0,0.5
1.0,26.0,0.0,1.0
1.0,27.0,0.75,1.0
1.0,28.0,0.0,0.0
1.0,29.0,0.0,0.0
