epoch,loss,reward,local_hit_rate,paper_hit_rate
1,3.17388820,4.93041667,0.08191624,0.12084565
2,3.13534217,5.20091667,0.08351898,0.12437725
3,3.13413906,5.04850000,0.07959625,0.11915701
4,3.13480773,5.10241667,0.07920472,0.11781233
5,3.13412623,5.21900000,0.08148184,0.11944183
6,3.12957875,5.42250000,0.08749650,0.12626644
7,3.13287174,5.08533333,0.08299581,0.12356595
8,3.13027870,4.77791667,0.07409002,0.11550856
9,3.13026309,5.25625000,0.08160137,0.12161393
10,3.13222091,5.14783333,0.08219732,0.11785687
11,3.13139745,4.65808333,0.07195384,0.11530414
12,3.13029922,4.95700000,0.07821986,0.11764135
13,3.13096247,4.74358333,0.07334650,0.11057083
14,3.13007650,5.23208333,0.08132202,0.12264373
15,3.13394259,4.97641667,0.07866707,0.11732606
16,3.13068757,4.89025000,0.07814691,0.12161592
17,3.13079697,5.22716667,0.08139847,0.12350164
18,3.13363767,4.87550000,0.07935432,0.11983239
19,3.13244313,4.91150000,0.07775362,0.11897659
20,3.13548349,5.21166667,0.08128691,0.11696442
21,3.13424142,5.12383333,0.08153458,0.11864346
22,3.13323072,4.99825000,0.08021532,0.11655540
23,3.13325651,5.03208333,0.08234247,0.12067823
24,3.13891675,5.16983333,0.08283765,0.12003003
25,3.13477318,5.18625000,0.08475830,0.12404939
