scheme,episode,reward,local_hit_rate,neighbor_fetch_rate,cloud_fetch_rate,paper_hit_rate
Our-TemporalGraph,1,551.10000000,0.07707649,0.02531450,0.89760901,0.10239099
Our-TemporalGraph,2,697.10000000,0.08753532,0.03747066,0.87499402,0.12500598
Our-TemporalGraph,3,714.20000000,0.09103985,0.02789360,0.88106655,0.11893345
Paper2-AWFDRL-like,1,411.70000000,0.05661507,0.05776330,0.88562162,0.11437838
Paper2-AWFDRL-like,2,339.30000000,0.03923238,0.05513445,0.90563317,0.09436683
Paper2-AWFDRL-like,3,253.70000000,0.03733059,0.03843943,0.92422998,0.07577002
Paper3-MAAFDRL-like,1,484.10000000,0.09409104,0.03487720,0.87103176,0.12896824
Paper3-MAAFDRL-like,2,519.40000000,0.09459483,0.04612784,0.85927734,0.14072266
Paper3-MAAFDRL-like,3,474.20000000,0.09853579,0.04002389,0.86144032,0.13855968
Paper4-DTS-DDPG-like,1,439.90000000,0.05387945,0.05611936,0.89000119,0.10999881
Paper4-DTS-DDPG-like,2,335.00000000,0.04055966,0.04437053,0.91506981,0.08493019
Paper4-DTS-DDPG-like,3,289.60000000,0.03545199,0.03845038,0.92609762,0.07390238
