group,scheme,cache_capacity,n_sbs,episode,reward,cost,local_hit_rate,neighbor_fetch_rate,cloud_fetch_rate,paper_style_hit_rate
fig7,Random,30,8,1,79.60000000,54920.40000000,0.01709091,0.04572727,0.93718182,0.06281818
fig7,Random,30,8,2,239.40000000,54760.60000000,0.02063636,0.04636364,0.93300000,0.06700000
fig7,C-epsilon-greedy,30,8,1,6301.10000000,48698.90000000,0.12027273,0.12845455,0.75127273,0.24872727
fig7,C-epsilon-greedy,30,8,2,6530.50000000,48469.50000000,0.12354545,0.12790909,0.74854545,0.25145455
fig7,Thompson,30,8,1,150.40000000,54849.60000000,0.01918182,0.04600000,0.93481818,0.06518182
fig7,Thompson,30,8,2,208.20000000,54791.80000000,0.02027273,0.04663636,0.93309091,0.06690909
fig7,BSG-like,30,8,1,6238.10000000,48761.90000000,0.14218182,0.00000000,0.85781818,0.14218182
fig7,BSG-like,30,8,2,5865.80000000,49134.20000000,0.13372727,0.00000000,0.86627273,0.13372727
fig7,EFNRL-like,30,8,1,33514.50000000,21485.50000000,0.77554545,0.01372727,0.21072727,0.78927273
fig7,EFNRL-like,30,8,2,33234.50000000,21765.50000000,0.76872727,0.01554545,0.21572727,0.78427273
fig7,GNN-ActorCritic,30,8,1,7195.00000000,47805.00000000,0.13300000,0.13300000,0.73400000,0.26600000
fig7,GNN-ActorCritic,30,8,2,7095.00000000,47905.00000000,0.12827273,0.14281818,0.72890909,0.27109091
fig8,GNN-ActorCritic,30,8,1,6729.00000000,48271.00000000,0.12345455,0.12881818,0.74772727,0.25227273
fig8,GNN-ActorCritic,30,8,2,7298.00000000,47702.00000000,0.13436364,0.13690909,0.72872727,0.27127273
fig9,GNN-ActorCritic,30,8,1,6857.00000000,48143.00000000,0.12527273,0.13318182,0.74154545,0.25845455
fig9,GNN-ActorCritic,30,8,2,6730.00000000,48270.00000000,0.12245455,0.13290909,0.74463636,0.25536364
