group,scheme,cache_capacity,n_sbs,episode,reward,cost,local_hit_rate,neighbor_fetch_rate,cloud_fetch_rate,paper_style_hit_rate
fig7,Random,10,8,1,4224.00000000,50776.00000000,0.08518182,0.05418182,0.86063636,0.13936364
fig7,Random,10,8,2,3899.00000000,51101.00000000,0.07772727,0.05445455,0.86781818,0.13218182
fig7,C-epsilon-greedy,10,8,1,4127.00000000,50873.00000000,0.08327273,0.05300000,0.86372727,0.13627273
fig7,C-epsilon-greedy,10,8,2,3629.00000000,51371.00000000,0.07163636,0.05427273,0.87409091,0.12590909
fig7,Thompson,10,8,1,4206.00000000,50794.00000000,0.08436364,0.05581818,0.85981818,0.14018182
fig7,Thompson,10,8,2,3931.00000000,51069.00000000,0.07790909,0.05663636,0.86545455,0.13454545
fig7,BSG-like,10,8,1,4103.00000000,50897.00000000,0.08236364,0.05445455,0.86318182,0.13681818
fig7,BSG-like,10,8,2,3694.00000000,51306.00000000,0.07318182,0.05400000,0.87281818,0.12718182
fig7,EFNRL-like,10,8,1,3859.00000000,51141.00000000,0.07754545,0.05154545,0.87090909,0.12909091
fig7,EFNRL-like,10,8,2,3627.00000000,51373.00000000,0.07136364,0.05518182,0.87345455,0.12654545
fig7,GNN-ActorCritic,10,8,1,4226.00000000,50774.00000000,0.08500000,0.05509091,0.85990909,0.14009091
fig7,GNN-ActorCritic,10,8,2,3874.00000000,51126.00000000,0.07672727,0.05618182,0.86709091,0.13290909
fig7,Random,20,8,1,6313.00000000,48687.00000000,0.12627273,0.07972727,0.79400000,0.20600000
fig7,Random,20,8,2,5739.00000000,49261.00000000,0.11163636,0.08609091,0.80227273,0.19772727
fig7,C-epsilon-greedy,20,8,1,6201.00000000,48799.00000000,0.12263636,0.08409091,0.79327273,0.20672727
fig7,C-epsilon-greedy,20,8,2,5701.00000000,49299.00000000,0.10963636,0.09063636,0.79972727,0.20027273
fig7,Thompson,20,8,1,6147.00000000,48853.00000000,0.12272727,0.07881818,0.79845455,0.20154545
fig7,Thompson,20,8,2,5761.00000000,49239.00000000,0.11100000,0.09063636,0.79836364,0.20163636
fig7,BSG-like,20,8,1,6100.00000000,48900.00000000,0.12136364,0.08000000,0.79863636,0.20136364
fig7,BSG-like,20,8,2,5755.00000000,49245.00000000,0.11045455,0.09227273,0.79727273,0.20272727
fig7,EFNRL-like,20,8,1,6000.00000000,49000.00000000,0.11845455,0.08254545,0.79900000,0.20100000
fig7,EFNRL-like,20,8,2,5560.00000000,49440.00000000,0.10563636,0.09381818,0.80054545,0.19945455
fig7,GNN-ActorCritic,20,8,1,6186.00000000,48814.00000000,0.12418182,0.07654545,0.79927273,0.20072727
fig7,GNN-ActorCritic,20,8,2,5755.00000000,49245.00000000,0.11063636,0.09154545,0.79781818,0.20218182
fig7,Random,30,8,1,7614.00000000,47386.00000000,0.15154545,0.09690909,0.75154545,0.24845455
fig7,Random,30,8,2,7332.00000000,47668.00000000,0.14227273,0.10836364,0.74936364,0.25063636
fig7,C-epsilon-greedy,30,8,1,7688.00000000,47312.00000000,0.15018182,0.10909091,0.74072727,0.25927273
