scheme,cache_capacity,n_sbs,reward_mean,cost_mean,local_hit_mean,neighbor_fetch_mean,cloud_fetch_mean,paper_hit_mean
Random,10,8,4061.50000000,50938.50000000,0.08145455,0.05431818,0.86422727,0.13577273
C-epsilon-greedy,10,8,3878.00000000,51122.00000000,0.07745455,0.05363636,0.86890909,0.13109091
Thompson,10,8,4068.50000000,50931.50000000,0.08113636,0.05622727,0.86263636,0.13736364
BSG-like,10,8,3898.50000000,51101.50000000,0.07777273,0.05422727,0.86800000,0.13200000
EFNRL-like,10,8,3743.00000000,51257.00000000,0.07445455,0.05336364,0.87218182,0.12781818
GNN-ActorCritic,10,8,4050.00000000,50950.00000000,0.08086364,0.05563636,0.86350000,0.13650000
Random,20,8,6026.00000000,48974.00000000,0.11895455,0.08290909,0.79813636,0.20186364
C-epsilon-greedy,20,8,5951.00000000,49049.00000000,0.11613636,0.08736364,0.79650000,0.20350000
Thompson,20,8,5954.00000000,49046.00000000,0.11686364,0.08472727,0.79840909,0.20159091
BSG-like,20,8,5927.50000000,49072.50000000,0.11590909,0.08613636,0.79795455,0.20204545
EFNRL-like,20,8,5780.00000000,49220.00000000,0.11204545,0.08818182,0.79977273,0.20022727
GNN-ActorCritic,20,8,5970.50000000,49029.50000000,0.11740909,0.08404545,0.79854545,0.20145455
Random,30,8,7473.00000000,47527.00000000,0.14690909,0.10263636,0.75045455,0.24954545
C-epsilon-greedy,30,8,7489.50000000,47510.50000000,0.14531818,0.11050000,0.74418182,0.25581818
Thompson,30,8,7470.50000000,47529.50000000,0.14700000,0.10204545,0.75095455,0.24904545
BSG-like,30,8,7363.50000000,47636.50000000,0.14340909,0.10668182,0.74990909,0.25009091
EFNRL-like,30,8,7419.00000000,47581.00000000,0.14313636,0.11281818,0.74404545,0.25595455
GNN-ActorCritic,30,8,7565.00000000,47435.00000000,0.14813636,0.10609091,0.74577273,0.25422727
GNN-ActorCritic,10,1,1335.00000000,53665.00000000,0.03068182,0.00000000,0.96931818,0.03068182
GNN-ActorCritic,20,1,2595.00000000,52405.00000000,0.05931818,0.00000000,0.94068182,0.05931818
GNN-ActorCritic,30,1,3679.00000000,51321.00000000,0.08395455,0.00000000,0.91604545,0.08395455
GNN-ActorCritic,10,4,2180.00000000,52820.00000000,0.05090909,0.00000000,0.94909091,0.05090909
GNN-ActorCritic,20,4,3356.00000000,51644.00000000,0.07763636,0.00000000,0.92236364,0.07763636
GNN-ActorCritic,30,4,4700.00000000,50300.00000000,0.10818182,0.00000000,0.89181818,0.10818182
GNN-ActorCritic,10,8,4290.00000000,50710.00000000,0.08486364,0.06145455,0.85368182,0.14631818
GNN-ActorCritic,20,8,6118.00000000,48882.00000000,0.12036364,0.08563636,0.79400000,0.20600000
GNN-ActorCritic,30,8,7515.00000000,47485.00000000,0.14809091,0.10172727,0.75018182,0.24981818
