group,scheme,cache_capacity,n_sbs,episode,reward,cost,local_hit_rate,neighbor_fetch_rate,cloud_fetch_rate,paper_style_hit_rate
fig7,Random,10,8,1,11796.00000000,153204.00000000,0.07900000,0.05236364,0.86863636,0.13136364
fig7,Random,10,8,2,10758.00000000,154242.00000000,0.07087879,0.05339394,0.87572727,0.12427273
fig7,Random,10,8,3,11827.00000000,153173.00000000,0.07827273,0.05621212,0.86551515,0.13448485
fig7,Random,10,8,4,11648.00000000,153352.00000000,0.07527273,0.06278788,0.86193939,0.13806061
fig7,Random,10,8,5,11881.00000000,153119.00000000,0.07863636,0.05639394,0.86496970,0.13503030
fig7,Random,10,8,6,10979.00000000,154021.00000000,0.07063636,0.06106061,0.86830303,0.13169697
fig7,Random,10,8,7,11008.00000000,153992.00000000,0.07303030,0.05236364,0.87460606,0.12539394
fig7,Random,10,8,8,11993.00000000,153007.00000000,0.07933333,0.05700000,0.86366667,0.13633333
fig7,Random,10,8,9,12333.00000000,152667.00000000,0.07878788,0.06948485,0.85172727,0.14827273
fig7,Random,10,8,10,12114.00000000,152886.00000000,0.07815152,0.06539394,0.85645455,0.14354545
fig7,Random,10,8,11,11000.00000000,154000.00000000,0.07257576,0.05393939,0.87348485,0.12651515
fig7,Random,10,8,12,11651.00000000,153349.00000000,0.07572727,0.06106061,0.86321212,0.13678788
fig7,Random,10,8,13,11363.00000000,153637.00000000,0.07351515,0.06118182,0.86530303,0.13469697
fig7,Random,10,8,14,11665.00000000,153335.00000000,0.07624242,0.05942424,0.86433333,0.13566667
fig7,Random,10,8,15,10809.00000000,154191.00000000,0.07115152,0.05384848,0.87500000,0.12500000
fig7,Random,10,8,16,11714.00000000,153286.00000000,0.07560606,0.06345455,0.86093939,0.13906061
fig7,Random,10,8,17,11833.00000000,153167.00000000,0.07827273,0.05639394,0.86533333,0.13466667
fig7,Random,10,8,18,12093.00000000,152907.00000000,0.08030303,0.05615152,0.86354545,0.13645455
fig7,Random,10,8,19,11830.00000000,153170.00000000,0.07824242,0.05642424,0.86533333,0.13466667
fig7,Random,10,8,20,11403.00000000,153597.00000000,0.07506061,0.05621212,0.86872727,0.13127273
fig7,C-epsilon-greedy,10,8,1,11612.00000000,153388.00000000,0.07721212,0.05393939,0.86884848,0.13115152
fig7,C-epsilon-greedy,10,8,2,10489.00000000,154511.00000000,0.06778788,0.05760606,0.87460606,0.12539394
fig7,C-epsilon-greedy,10,8,3,11704.00000000,153296.00000000,0.07700000,0.05757576,0.86542424,0.13457576
fig7,C-epsilon-greedy,10,8,4,11682.00000000,153318.00000000,0.07518182,0.06418182,0.86063636,0.13936364
fig7,C-epsilon-greedy,10,8,5,11329.00000000,153671.00000000,0.07281818,0.06293939,0.86424242,0.13575758
fig7,C-epsilon-greedy,10,8,6,10907.00000000,154093.00000000,0.07018182,0.06069697,0.86912121,0.13087879
fig7,C-epsilon-greedy,10,8,7,10669.00000000,154331.00000000,0.07121212,0.04936364,0.87942424,0.12057576
fig7,C-epsilon-greedy,10,8,8,12387.00000000,152613.00000000,0.08200000,0.05827273,0.85972727,0.14027273
fig7,C-epsilon-greedy,10,8,9,11823.00000000,153177.00000000,0.07527273,0.06809091,0.85663636,0.14336364
fig7,C-epsilon-greedy,10,8,10,11891.00000000,153109.00000000,0.07584848,0.06784848,0.85630303,0.14369697
fig7,C-epsilon-greedy,10,8,11,10254.00000000,154746.00000000,0.06648485,0.05569697,0.87781818,0.12218182
fig7,C-epsilon-greedy,10,8,12,11318.00000000,153682.00000000,0.07306061,0.06163636,0.86530303,0.13469697
