episode,reward,local_hit_rate,neighbor_fetch_rate,cloud_fetch_rate
1,23966.00000000,0.15969697,0.10927273,0.73103030
2,23452.00000000,0.15163636,0.12593939,0.72242424
3,24195.00000000,0.15745455,0.12518182,0.71736364
4,23830.00000000,0.15548485,0.12200000,0.72251515
5,24232.00000000,0.15878788,0.12096970,0.72024242
6,23534.00000000,0.15175758,0.12793939,0.72030303
7,22583.00000000,0.14954545,0.10796970,0.74248485
8,24709.00000000,0.16490909,0.11093939,0.72415152
9,24050.00000000,0.15663636,0.12406061,0.71930303
10,24252.00000000,0.15587879,0.13321212,0.71090909
11,22542.00000000,0.14721212,0.11606061,0.73672727
12,22815.00000000,0.14969697,0.11439394,0.73590909
13,23519.00000000,0.15512121,0.11403030,0.73084848
14,24166.00000000,0.15675758,0.12709091,0.71615152
15,24083.00000000,0.15633333,0.12627273,0.71739394
16,24785.00000000,0.16233333,0.12354545,0.71412121
17,23986.00000000,0.15927273,0.11157576,0.72915152
18,23417.00000000,0.15342424,0.11772727,0.72884848
19,23192.00000000,0.15193939,0.11684848,0.73121212
20,23249.00000000,0.14960606,0.12790909,0.72248485
21,24857.00000000,0.16369697,0.12027273,0.71603030
22,23319.00000000,0.15272727,0.11754545,0.72972727
23,22637.00000000,0.14545455,0.12596970,0.72857576
24,23452.00000000,0.15278788,0.12133333,0.72587879
25,23402.00000000,0.15278788,0.11981818,0.72739394
26,24709.00000000,0.16245455,0.12075758,0.71678788
27,24377.00000000,0.15872727,0.12560606,0.71566667
28,22565.00000000,0.14787879,0.11409091,0.73803030
29,23266.00000000,0.15163636,0.12030303,0.72806061
30,23418.00000000,0.15296970,0.11957576,0.72745455
31,23094.00000000,0.15006061,0.12139394,0.72854545
32,23536.00000000,0.15478788,0.11587879,0.72933333
33,24116.00000000,0.15763636,0.12206061,0.72030303
34,24523.00000000,0.16524242,0.10396970,0.73078788
35,23276.00000000,0.15254545,0.11696970,0.73048485
36,22514.00000000,0.14560606,0.12163636,0.73275758
37,23134.00000000,0.15133333,0.11751515,0.73115152
38,23283.00000000,0.15039394,0.12578788,0.72381818
39,22966.00000000,0.14872727,0.12284848,0.72842424
40,23274.00000000,0.15254545,0.11690909,0.73054545
41,23701.00000000,0.15460606,0.12160606,0.72378788
42,22778.00000000,0.14754545,0.12187879,0.73057576
43,24475.00000000,0.15948485,0.12554545,0.71496970
44,24939.00000000,0.16106061,0.13330303,0.70563636
45,23128.00000000,0.14887879,0.12715152,0.72396970
46,22728.00000000,0.15000000,0.11054545,0.73945455
47,22739.00000000,0.14760606,0.12045455,0.73193939
48,24553.00000000,0.16127273,0.12075758,0.71796970
49,23549.00000000,0.15221212,0.12657576,0.72121212
50,24747.00000000,0.16048485,0.12978788,0.70972727
51,23747.00000000,0.15545455,0.11960606,0.72493939
52,23916.00000000,0.15690909,0.11890909,0.72418182
53,23697.00000000,0.15684848,0.11251515,0.73063636
54,23798.00000000,0.15754545,0.11278788,0.72966667
55,23776.00000000,0.15693939,0.11454545,0.72851515
56,24255.00000000,0.15987879,0.11730303,0.72281818
57,22914.00000000,0.14718182,0.12745455,0.72536364
58,24702.00000000,0.16093939,0.12660606,0.71245455
59,24265.00000000,0.16051515,0.11506061,0.72442424
60,23173.00000000,0.15293939,0.11227273,0.73478788
