episode,reward,local_hit_rate,neighbor_fetch_rate,cloud_fetch_rate
1,4582.20000000,0.06806818,0.09488636,0.83704545
2,4502.00000000,0.06556818,0.10028409,0.83414773
3,4838.10000000,0.06994318,0.10204545,0.82801136
4,4430.00000000,0.06528409,0.09738636,0.83732955
5,4462.70000000,0.06619318,0.09568182,0.83812500
6,4501.40000000,0.06590909,0.09880682,0.83528409
7,4298.80000000,0.06284091,0.09977273,0.83738636
8,4700.90000000,0.06892045,0.09823864,0.83284091
9,4884.30000000,0.07085227,0.10102273,0.82812500
10,4963.40000000,0.07125000,0.10380682,0.82494318
11,4214.00000000,0.06107955,0.10204545,0.83687500
12,4436.50000000,0.06517045,0.09829545,0.83653409
13,4453.80000000,0.06500000,0.09977273,0.83522727
14,4844.00000000,0.06880682,0.10676136,0.82443182
15,4627.30000000,0.06636364,0.10454545,0.82909091
16,4791.70000000,0.06948864,0.10090909,0.82960227
17,4314.90000000,0.06318182,0.09926136,0.83755682
18,4421.70000000,0.06670455,0.09107955,0.84221591
19,4351.00000000,0.06335227,0.10090909,0.83573864
20,4570.50000000,0.06534091,0.10522727,0.82943182
