episode,reward,local_hit_rate,neighbor_fetch_rate,cloud_fetch_rate
1,4491.80000000,0.06755682,0.09198864,0.84045455
2,4542.50000000,0.06607955,0.10051136,0.83340909
3,4861.00000000,0.07034091,0.10181818,0.82784091
4,4410.30000000,0.06505682,0.09732955,0.83761364
5,4410.60000000,0.06471591,0.09863636,0.83664773
6,4412.40000000,0.06471591,0.09875000,0.83653409
7,4403.50000000,0.06471591,0.09823864,0.83704545
8,4579.20000000,0.06789773,0.09539773,0.83670455
9,4767.10000000,0.06909091,0.10136364,0.82954545
10,4907.80000000,0.07079545,0.10238636,0.82681818
11,4305.50000000,0.06312500,0.09892045,0.83795455
12,4554.60000000,0.06670455,0.09880682,0.83448864
13,4460.30000000,0.06517045,0.09965909,0.83517045
14,4955.50000000,0.07130682,0.10306818,0.82562500
15,4727.00000000,0.06795455,0.10380682,0.82823864
16,4757.20000000,0.06903409,0.10085227,0.83011364
17,4287.30000000,0.06318182,0.09789773,0.83892045
18,4442.70000000,0.06687500,0.09176136,0.84136364
19,4228.10000000,0.06176136,0.10017045,0.83806818
20,4603.50000000,0.06579545,0.10517045,0.82903409
21,4224.30000000,0.06238636,0.09721591,0.84039773
22,4348.10000000,0.06329545,0.10073864,0.83596591
23,4419.80000000,0.06573864,0.09500000,0.83926136
24,4640.60000000,0.06727273,0.10136364,0.83136364
25,4769.60000000,0.06920455,0.10090909,0.82988636
26,4431.10000000,0.06568182,0.09590909,0.83840909
27,4759.40000000,0.06926136,0.10017045,0.83056818
28,4119.60000000,0.06102273,0.09676136,0.84221591
29,4450.40000000,0.06454545,0.10159091,0.83386364
30,4399.60000000,0.06517045,0.09596591,0.83886364
