episode,reward,local_hit_rate,neighbor_fetch_rate,cloud_fetch_rate
1,23084.00000000,0.15524242,0.08945455,0.75530303
2,22317.00000000,0.14560606,0.10475758,0.74963636
3,23296.00000000,0.15618182,0.09212121,0.75169697
4,23154.00000000,0.15203030,0.10442424,0.74354545
5,23281.00000000,0.15448485,0.09845455,0.74706061
6,21921.00000000,0.14439394,0.09760606,0.75800000
7,21532.00000000,0.14481818,0.08412121,0.77106061
8,23339.00000000,0.15818182,0.08542424,0.75639394
9,23148.00000000,0.15503030,0.09224242,0.75272727
10,23051.00000000,0.14800000,0.11742424,0.73457576
11,21807.00000000,0.14366667,0.09706061,0.75927273
12,21866.00000000,0.14512121,0.09303030,0.76184848
13,21981.00000000,0.14587879,0.09348485,0.76063636
14,23320.00000000,0.15442424,0.09987879,0.74569697
15,21712.00000000,0.14015152,0.10824242,0.75160606
16,23326.00000000,0.15409091,0.10139394,0.74451515
17,23266.00000000,0.15369697,0.10115152,0.74515152
18,23059.00000000,0.15572727,0.08675758,0.75751515
19,22336.00000000,0.14954545,0.08957576,0.76087879
20,22151.00000000,0.14184848,0.11475758,0.74339394
21,23258.00000000,0.15490909,0.09606061,0.74903030
22,22173.00000000,0.14575758,0.09978788,0.75445455
23,21928.00000000,0.14521212,0.09454545,0.76024242
24,22988.00000000,0.15403030,0.09139394,0.75457576
25,21808.00000000,0.14275758,0.10072727,0.75651515
26,23464.00000000,0.15427273,0.10484848,0.74087879
27,22942.00000000,0.15296970,0.09424242,0.75278788
28,21615.00000000,0.14333333,0.09257576,0.76409091
29,22735.00000000,0.15221212,0.09100000,0.75678788
30,21980.00000000,0.14475758,0.09793939,0.75730303
31,22694.00000000,0.15166667,0.09193939,0.75639394
32,23261.00000000,0.15566667,0.09312121,0.75121212
33,22708.00000000,0.15160606,0.09260606,0.75578788
34,23716.00000000,0.16042424,0.08787879,0.75169697
35,21824.00000000,0.14566667,0.08957576,0.76475758
36,21941.00000000,0.14245455,0.10596970,0.75157576
37,22707.00000000,0.14942424,0.10130303,0.74927273
38,21926.00000000,0.14363636,0.10078788,0.75557576
