group,scheme,cache_capacity,n_sbs,episode,reward,cost,local_hit_rate,neighbor_fetch_rate,cloud_fetch_rate,paper_style_hit_rate
fig7,Random,30,8,1,5177.60000000,49822.40000000,0.09581818,0.09809091,0.80609091,0.19390909
fig7,Random,30,8,2,5303.70000000,49696.30000000,0.09700000,0.10490909,0.79809091,0.20190909
fig7,C-epsilon-greedy,30,8,1,5948.30000000,49051.70000000,0.10918182,0.10890909,0.78190909,0.21809091
fig7,C-epsilon-greedy,30,8,2,5947.70000000,49052.30000000,0.10781818,0.11272727,0.77945455,0.22054545
fig7,Thompson,30,8,1,5197.10000000,49802.90000000,0.09636364,0.09772727,0.80590909,0.19409091
fig7,Thompson,30,8,2,5196.60000000,49803.40000000,0.09427273,0.10609091,0.79963636,0.20036364
fig7,BSG-like,30,8,1,5660.40000000,49339.60000000,0.10600000,0.09436364,0.79963636,0.20036364
fig7,BSG-like,30,8,2,5703.40000000,49296.60000000,0.10463636,0.10172727,0.79363636,0.20636364
fig7,EFNRL-like,30,8,1,8123.80000000,46876.20000000,0.16136364,0.09918182,0.73945455,0.26054545
fig7,EFNRL-like,30,8,2,7355.50000000,47644.50000000,0.14254545,0.10572727,0.75172727,0.24827273
fig7,GNN-ActorCritic,30,8,1,7031.00000000,47969.00000000,0.13100000,0.12609091,0.74290909,0.25709091
fig7,GNN-ActorCritic,30,8,2,6705.00000000,48295.00000000,0.12100000,0.13645455,0.74254545,0.25745455
fig8,GNN-ActorCritic,30,8,1,6768.00000000,48232.00000000,0.12563636,0.12363636,0.75072727,0.24927273
fig8,GNN-ActorCritic,30,8,2,7041.00000000,47959.00000000,0.13281818,0.11972727,0.74745455,0.25254545
fig9,GNN-ActorCritic,30,8,1,6805.00000000,48195.00000000,0.12709091,0.12118182,0.75172727,0.24827273
fig9,GNN-ActorCritic,30,8,2,6676.00000000,48324.00000000,0.12254545,0.12763636,0.74981818,0.25018182
