group,scheme,cache_capacity,n_sbs,episode,reward,cost,local_hit_rate,neighbor_fetch_rate,cloud_fetch_rate,paper_style_hit_rate
fig7,Random,30,8,1,5177.60000000,49822.40000000,0.09581818,0.09809091,0.80609091,0.19390909
fig7,Random,30,8,2,5303.70000000,49696.30000000,0.09700000,0.10490909,0.79809091,0.20190909
fig7,C-epsilon-greedy,30,8,1,5948.30000000,49051.70000000,0.10918182,0.10890909,0.78190909,0.21809091
fig7,C-epsilon-greedy,30,8,2,5947.70000000,49052.30000000,0.10781818,0.11272727,0.77945455,0.22054545
fig7,Thompson,30,8,1,5197.10000000,49802.90000000,0.09636364,0.09772727,0.80590909,0.19409091
fig7,Thompson,30,8,2,5196.60000000,49803.40000000,0.09427273,0.10609091,0.79963636,0.20036364
fig7,BSG-like,30,8,1,5660.40000000,49339.60000000,0.10600000,0.09436364,0.79963636,0.20036364
fig7,BSG-like,30,8,2,5703.40000000,49296.60000000,0.10463636,0.10172727,0.79363636,0.20636364
fig7,EFNRL-like,30,8,1,8123.80000000,46876.20000000,0.16136364,0.09918182,0.73945455,0.26054545
fig7,EFNRL-like,30,8,2,7355.50000000,47644.50000000,0.14254545,0.10572727,0.75172727,0.24827273
fig7,GNN-ActorCritic,30,8,1,5676.50000000,49323.50000000,0.10581818,0.09427273,0.79990909,0.20009091
fig7,GNN-ActorCritic,30,8,2,5716.10000000,49283.90000000,0.10445455,0.10390909,0.79163636,0.20836364
fig8,GNN-ActorCritic,30,8,1,5707.40000000,49292.60000000,0.10590909,0.09790909,0.79618182,0.20381818
fig8,GNN-ActorCritic,30,8,2,5582.80000000,49417.20000000,0.10372727,0.09509091,0.80118182,0.19881818
fig9,GNN-ActorCritic,30,8,1,5532.70000000,49467.30000000,0.10300000,0.09254545,0.80445455,0.19554545
fig9,GNN-ActorCritic,30,8,2,5483.30000000,49516.70000000,0.10181818,0.09309091,0.80509091,0.19490909
