group,scheme,cache_capacity,n_sbs,episode,reward,cost,local_hit_rate,neighbor_fetch_rate,cloud_fetch_rate,paper_style_hit_rate
fig7,Random,30,8,1,79.80000000,54920.20000000,0.01709091,0.04572727,0.93718182,0.06281818
fig7,Random,30,8,2,239.30000000,54760.70000000,0.02063636,0.04636364,0.93300000,0.06700000
fig7,C-epsilon-greedy,30,8,1,6301.20000000,48698.80000000,0.12027273,0.12845455,0.75127273,0.24872727
fig7,C-epsilon-greedy,30,8,2,6530.20000000,48469.80000000,0.12354545,0.12790909,0.74854545,0.25145455
fig7,Thompson,30,8,1,150.30000000,54849.70000000,0.01918182,0.04600000,0.93481818,0.06518182
fig7,Thompson,30,8,2,207.90000000,54792.10000000,0.02027273,0.04663636,0.93309091,0.06690909
fig7,BSG-like,30,8,1,6237.20000000,48762.80000000,0.14218182,0.00000000,0.85781818,0.14218182
fig7,BSG-like,30,8,2,5866.50000000,49133.50000000,0.13372727,0.00000000,0.86627273,0.13372727
fig7,EFNRL-like,30,8,1,3490.80000000,51509.20000000,0.07227273,0.09745455,0.83027273,0.16972727
fig7,EFNRL-like,30,8,2,3362.90000000,51637.10000000,0.06690909,0.10718182,0.82590909,0.17409091
fig7,GNN-ActorCritic,30,8,1,5216.00000000,49784.00000000,0.09454545,0.10690909,0.79854545,0.20145455
fig7,GNN-ActorCritic,30,8,2,4777.00000000,50223.00000000,0.08045455,0.12336364,0.79618182,0.20381818
fig8,GNN-ActorCritic,30,8,1,4665.00000000,50335.00000000,0.08200000,0.10700000,0.81100000,0.18900000
fig8,GNN-ActorCritic,30,8,2,5110.00000000,49890.00000000,0.09290909,0.10381818,0.80327273,0.19672727
fig9,GNN-ActorCritic,30,8,1,4480.00000000,50520.00000000,0.07872727,0.10327273,0.81800000,0.18200000
fig9,GNN-ActorCritic,30,8,2,4688.00000000,50312.00000000,0.08309091,0.10472727,0.81218182,0.18781818
