group,scheme,cache_capacity,n_sbs,episode,reward,cost,local_hit_rate,neighbor_fetch_rate,cloud_fetch_rate,paper_style_hit_rate
fig7,Random,10,8,1,96.40000000,54903.60000000,0.00672727,0.01800000,0.97527273,0.02472727
fig7,Random,10,8,2,58.10000000,54941.90000000,0.00690909,0.01372727,0.97936364,0.02063636
fig7,Random,10,8,3,45.10000000,54954.90000000,0.00618182,0.01554545,0.97827273,0.02172727
fig7,Random,10,8,4,1.50000000,54998.50000000,0.00518182,0.01554545,0.97927273,0.02072727
fig7,Random,10,8,5,-15.60000000,55015.60000000,0.00500000,0.01472727,0.98027273,0.01972727
fig7,C-epsilon-greedy,10,8,1,2613.50000000,52386.50000000,0.04854545,0.05827273,0.89318182,0.10681818
fig7,C-epsilon-greedy,10,8,2,2830.00000000,52170.00000000,0.04927273,0.06918182,0.88154545,0.11845455
fig7,C-epsilon-greedy,10,8,3,2842.10000000,52157.90000000,0.05036364,0.06663636,0.88300000,0.11700000
fig7,C-epsilon-greedy,10,8,4,2749.40000000,52250.60000000,0.04809091,0.06690909,0.88500000,0.11500000
fig7,C-epsilon-greedy,10,8,5,2663.80000000,52336.20000000,0.04972727,0.05100000,0.89927273,0.10072727
fig7,Thompson,10,8,1,37.00000000,54963.00000000,0.00590909,0.01609091,0.97800000,0.02200000
fig7,Thompson,10,8,2,72.00000000,54928.00000000,0.00627273,0.01781818,0.97590909,0.02409091
fig7,Thompson,10,8,3,97.00000000,54903.00000000,0.00718182,0.01645455,0.97636364,0.02363636
fig7,Thompson,10,8,4,82.10000000,54917.90000000,0.00654545,0.01763636,0.97581818,0.02418182
fig7,Thompson,10,8,5,-17.00000000,55017.00000000,0.00463636,0.01627273,0.97909091,0.02090909
fig7,BSG-like,10,8,1,2600.60000000,52399.40000000,0.05927273,0.00000000,0.94072727,0.05927273
fig7,BSG-like,10,8,2,2429.20000000,52570.80000000,0.05536364,0.00000000,0.94463636,0.05536364
fig7,BSG-like,10,8,3,2357.20000000,52642.80000000,0.05372727,0.00000000,0.94627273,0.05372727
fig7,BSG-like,10,8,4,2648.90000000,52351.10000000,0.06036364,0.00000000,0.93963636,0.06036364
fig7,BSG-like,10,8,5,2232.20000000,52767.80000000,0.05090909,0.00000000,0.94909091,0.05090909
fig7,EFNRL-like,10,8,1,1642.40000000,53357.60000000,0.03036364,0.05809091,0.91154545,0.08845455
fig7,EFNRL-like,10,8,2,1425.90000000,53574.10000000,0.02554545,0.05754545,0.91690909,0.08309091
fig7,EFNRL-like,10,8,3,1658.00000000,53342.00000000,0.02890909,0.06509091,0.90600000,0.09400000
fig7,EFNRL-like,10,8,4,1658.30000000,53341.70000000,0.02954545,0.06272727,0.90772727,0.09227273
fig7,EFNRL-like,10,8,5,1583.20000000,53416.80000000,0.02718182,0.06581818,0.90700000,0.09300000
fig7,GNN-ActorCritic,10,8,1,1370.00000000,53630.00000000,0.02672727,0.05400000,0.91927273,0.08072727
fig7,GNN-ActorCritic,10,8,2,1311.00000000,53689.00000000,0.02472727,0.05663636,0.91863636,0.08136364
fig7,GNN-ActorCritic,10,8,3,1373.00000000,53627.00000000,0.02490909,0.06154545,0.91354545,0.08645455
fig7,GNN-ActorCritic,10,8,4,1366.00000000,53634.00000000,0.02554545,0.05836364,0.91609091,0.08390909
fig7,GNN-ActorCritic,10,8,5,1314.00000000,53686.00000000,0.02409091,0.05945455,0.91645455,0.08354545
fig7,Random,20,8,1,146.90000000,54853.10000000,0.01309091,0.03281818,0.95409091,0.04590909
fig7,Random,20,8,2,94.90000000,54905.10000000,0.01209091,0.03209091,0.95581818,0.04418182
fig7,Random,20,8,3,83.30000000,54916.70000000,0.01209091,0.03109091,0.95681818,0.04318182
fig7,Random,20,8,4,41.00000000,54959.00000000,0.01190909,0.02800000,0.96009091,0.03990909
fig7,Random,20,8,5,44.70000000,54955.30000000,0.01109091,0.03154545,0.95736364,0.04263636
fig7,C-epsilon-greedy,20,8,1,4537.00000000,50463.00000000,0.08563636,0.09836364,0.81600000,0.18400000
fig7,C-epsilon-greedy,20,8,2,4820.70000000,50179.30000000,0.08836364,0.10481818,0.80681818,0.19318182
fig7,C-epsilon-greedy,20,8,3,4788.50000000,50211.50000000,0.09090909,0.09245455,0.81663636,0.18336364
fig7,C-epsilon-greedy,20,8,4,4820.90000000,50179.10000000,0.09127273,0.08836364,0.82036364,0.17963636
fig7,C-epsilon-greedy,20,8,5,4563.30000000,50436.70000000,0.08963636,0.07418182,0.83618182,0.16381818
fig7,Thompson,20,8,1,-15.70000000,55015.70000000,0.00981818,0.03200000,0.95818182,0.04181818
fig7,Thompson,20,8,2,94.50000000,54905.50000000,0.01172727,0.03436364,0.95390909,0.04609091
fig7,Thompson,20,8,3,125.00000000,54875.00000000,0.01290909,0.03236364,0.95472727,0.04527273
fig7,Thompson,20,8,4,152.30000000,54847.70000000,0.01318182,0.03354545,0.95327273,0.04672727
fig7,Thompson,20,8,5,115.20000000,54884.80000000,0.01254545,0.03281818,0.95463636,0.04536364
fig7,BSG-like,20,8,1,4590.10000000,50409.90000000,0.10463636,0.00000000,0.89536364,0.10463636
fig7,BSG-like,20,8,2,4242.60000000,50757.40000000,0.09672727,0.00000000,0.90327273,0.09672727
fig7,BSG-like,20,8,3,4319.10000000,50680.90000000,0.09845455,0.00000000,0.90154545,0.09845455
fig7,BSG-like,20,8,4,4678.30000000,50321.70000000,0.10663636,0.00000000,0.89336364,0.10663636
fig7,BSG-like,20,8,5,4378.30000000,50621.70000000,0.09981818,0.00000000,0.90018182,0.09981818
fig7,EFNRL-like,20,8,1,2503.80000000,52496.20000000,0.04809091,0.09381818,0.85809091,0.14190909
fig7,EFNRL-like,20,8,2,2421.30000000,52578.70000000,0.04481818,0.09890909,0.85627273,0.14372727
fig7,EFNRL-like,20,8,3,2637.10000000,52362.90000000,0.04845455,0.10409091,0.84745455,0.15254545
fig7,EFNRL-like,20,8,4,2647.00000000,52353.00000000,0.04972727,0.09981818,0.85045455,0.14954545
fig7,EFNRL-like,20,8,5,2467.10000000,52532.90000000,0.04536364,0.10181818,0.85281818,0.14718182
fig7,GNN-ActorCritic,20,8,1,2033.00000000,52967.00000000,0.04345455,0.08372727,0.87281818,0.12718182
fig7,GNN-ActorCritic,20,8,2,2066.00000000,52934.00000000,0.04336364,0.08709091,0.86954545,0.13045455
fig7,GNN-ActorCritic,20,8,3,2194.00000000,52806.00000000,0.04527273,0.09109091,0.86363636,0.13636364
fig7,GNN-ActorCritic,20,8,4,2015.00000000,52985.00000000,0.04209091,0.08754545,0.87036364,0.12963636
fig7,GNN-ActorCritic,20,8,5,1937.00000000,53063.00000000,0.04090909,0.08518182,0.87390909,0.12609091
fig7,Random,30,8,1,79.80000000,54920.20000000,0.01709091,0.04572727,0.93718182,0.06281818
fig7,Random,30,8,2,239.30000000,54760.70000000,0.02063636,0.04636364,0.93300000,0.06700000
fig7,Random,30,8,3,100.00000000,54900.00000000,0.01800000,0.04427273,0.93772727,0.06227273
fig7,Random,30,8,4,70.80000000,54929.20000000,0.01700000,0.04554545,0.93745455,0.06254545
fig7,Random,30,8,5,159.30000000,54840.70000000,0.01845455,0.04772727,0.93381818,0.06618182
fig7,C-epsilon-greedy,30,8,1,6301.20000000,48698.80000000,0.12027273,0.12845455,0.75127273,0.24872727
fig7,C-epsilon-greedy,30,8,2,6530.20000000,48469.80000000,0.12354545,0.12790909,0.74854545,0.25145455
fig7,C-epsilon-greedy,30,8,3,6621.90000000,48378.10000000,0.12945455,0.10800000,0.76254545,0.23745455
fig7,C-epsilon-greedy,30,8,4,6645.20000000,48354.80000000,0.13109091,0.10154545,0.76736364,0.23263636
fig7,C-epsilon-greedy,30,8,5,6277.20000000,48722.80000000,0.12536364,0.09190909,0.78272727,0.21727273
fig7,Thompson,30,8,1,150.30000000,54849.70000000,0.01918182,0.04600000,0.93481818,0.06518182
fig7,Thompson,30,8,2,207.90000000,54792.10000000,0.02027273,0.04663636,0.93309091,0.06690909
fig7,Thompson,30,8,3,235.20000000,54764.80000000,0.02127273,0.04445455,0.93427273,0.06572727
fig7,Thompson,30,8,4,311.60000000,54688.40000000,0.02045455,0.05472727,0.92481818,0.07518182
fig7,Thompson,30,8,5,274.60000000,54725.40000000,0.02027273,0.05163636,0.92809091,0.07190909
fig7,BSG-like,30,8,1,6237.20000000,48762.80000000,0.14218182,0.00000000,0.85781818,0.14218182
fig7,BSG-like,30,8,2,5866.50000000,49133.50000000,0.13372727,0.00000000,0.86627273,0.13372727
fig7,BSG-like,30,8,3,6042.90000000,48957.10000000,0.13772727,0.00000000,0.86227273,0.13772727
fig7,BSG-like,30,8,4,6373.00000000,48627.00000000,0.14527273,0.00000000,0.85472727,0.14527273
