scheme,cache_capacity,n_sbs,reward_mean,cost_mean,local_hit_mean,neighbor_fetch_mean,cloud_fetch_mean,paper_hit_mean
Random,10,8,37.10000000,54962.90000000,0.00600000,0.01550909,0.97849091,0.02150909
C-epsilon-greedy,10,8,2739.76000000,52260.24000000,0.04920000,0.06240000,0.88840000,0.11160000
Thompson,10,8,54.22000000,54945.78000000,0.00610909,0.01685455,0.97703636,0.02296364
BSG-like,10,8,2453.62000000,52546.38000000,0.05592727,0.00000000,0.94407273,0.05592727
EFNRL-like,10,8,1593.56000000,53406.44000000,0.02830909,0.06185455,0.90983636,0.09016364
GNN-ActorCritic,10,8,1346.80000000,53653.20000000,0.02520000,0.05800000,0.91680000,0.08320000
Random,20,8,82.16000000,54917.84000000,0.01205455,0.03110909,0.95683636,0.04316364
C-epsilon-greedy,20,8,4706.08000000,50293.92000000,0.08916364,0.09163636,0.81920000,0.18080000
Thompson,20,8,94.26000000,54905.74000000,0.01203636,0.03301818,0.95494545,0.04505455
BSG-like,20,8,4441.68000000,50558.32000000,0.10125455,0.00000000,0.89874545,0.10125455
EFNRL-like,20,8,2535.26000000,52464.74000000,0.04729091,0.09969091,0.85301818,0.14698182
GNN-ActorCritic,20,8,2049.00000000,52951.00000000,0.04301818,0.08692727,0.87005455,0.12994545
Random,30,8,129.84000000,54870.16000000,0.01823636,0.04592727,0.93583636,0.06416364
C-epsilon-greedy,30,8,6475.14000000,48524.86000000,0.12594545,0.11156364,0.76249091,0.23750909
Thompson,30,8,235.92000000,54764.08000000,0.02029091,0.04869091,0.93101818,0.06898182
BSG-like,30,8,6099.50000000,48900.50000000,0.13903636,0.00000000,0.86096364,0.13903636
EFNRL-like,30,8,3504.84000000,51495.16000000,0.07072727,0.10483636,0.82443636,0.17556364
GNN-ActorCritic,30,8,2654.60000000,52345.40000000,0.06549091,0.08769091,0.84681818,0.15318182
GNN-ActorCritic,10,1,1118.80000000,53881.20000000,0.02656364,0.00000000,0.97343636,0.02656364
GNN-ActorCritic,20,1,2293.60000000,52706.40000000,0.05440000,0.00000000,0.94560000,0.05440000
GNN-ActorCritic,30,1,3413.32000000,51586.68000000,0.07994545,0.00000000,0.92005455,0.07994545
GNN-ActorCritic,10,4,1168.80000000,53831.20000000,0.03110909,0.00000000,0.96889091,0.03110909
GNN-ActorCritic,20,4,2054.40000000,52945.60000000,0.05578182,0.00000000,0.94421818,0.05578182
GNN-ActorCritic,30,4,2800.94000000,52199.06000000,0.07596364,0.00000000,0.92403636,0.07596364
GNN-ActorCritic,10,8,1464.60000000,53535.40000000,0.02794545,0.05772727,0.91432727,0.08567273
GNN-ActorCritic,20,8,1974.00000000,53026.00000000,0.04270909,0.08134545,0.87594545,0.12405455
GNN-ActorCritic,30,8,2617.10000000,52382.90000000,0.06507273,0.08592727,0.84900000,0.15100000
