scheme,cache_capacity,n_sbs,reward_mean,cost_mean,local_hit_mean,neighbor_fetch_mean,cloud_fetch_mean,paper_hit_mean
Random,10,8,11584.90000000,153415.10000000,0.07593485,0.05822727,0.86583788,0.13416212
C-epsilon-greedy,10,8,11367.40000000,153632.60000000,0.07403182,0.05924848,0.86671970,0.13328030
Thompson,10,8,11514.40000000,153485.60000000,0.07573636,0.05688485,0.86737879,0.13262121
BSG-like,10,8,11256.05000000,153743.95000000,0.07374242,0.05703182,0.86922576,0.13077424
EFNRL-like,10,8,10847.80000000,154152.20000000,0.07041515,0.05796970,0.87161515,0.12838485
GNN-ActorCritic,10,8,11480.80000000,153519.20000000,0.07530909,0.05757576,0.86711515,0.13288485
Random,20,8,17698.80000000,147301.20000000,0.11600758,0.08320606,0.80078636,0.19921364
C-epsilon-greedy,20,8,17359.95000000,147640.05000000,0.11251515,0.08690758,0.80057727,0.19942273
Thompson,20,8,17619.20000000,147380.80000000,0.11544848,0.08303030,0.80152121,0.19847879
BSG-like,20,8,17233.80000000,147766.20000000,0.11197121,0.08526061,0.80276818,0.19723182
EFNRL-like,20,8,16916.60000000,148083.40000000,0.10910455,0.08711515,0.80378030,0.19621970
GNN-ActorCritic,20,8,17604.75000000,147395.25000000,0.11504848,0.08419242,0.80075909,0.19924091
Random,30,8,22569.65000000,142430.35000000,0.14931818,0.09756515,0.75311667,0.24688333
C-epsilon-greedy,30,8,22223.55000000,142776.45000000,0.14585758,0.10091970,0.75322273,0.24677727
Thompson,30,8,22468.65000000,142531.35000000,0.14873485,0.09683788,0.75442727,0.24557273
BSG-like,30,8,22219.50000000,142780.50000000,0.14591667,0.10056061,0.75352273,0.24647727
EFNRL-like,30,8,21775.90000000,143224.10000000,0.14180606,0.10356061,0.75463333,0.24536667
GNN-ActorCritic,30,8,22543.05000000,142456.95000000,0.14905000,0.09783182,0.75311818,0.24688182
GNN-ActorCritic,10,1,4107.60000000,160892.40000000,0.03145909,0.00000000,0.96854091,0.03145909
GNN-ActorCritic,20,1,9564.40000000,155435.60000000,0.07279848,0.00000000,0.92720152,0.07279848
GNN-ActorCritic,30,1,13385.60000000,151614.40000000,0.10174697,0.00000000,0.89825303,0.10174697
GNN-ActorCritic,10,2,4717.20000000,160282.80000000,0.03641818,0.00000000,0.96358182,0.03641818
GNN-ActorCritic,20,2,9631.20000000,155368.80000000,0.07364545,0.00000000,0.92635455,0.07364545
GNN-ActorCritic,30,2,14105.80000000,150894.20000000,0.10754394,0.00000000,0.89245606,0.10754394
GNN-ActorCritic,10,4,6538.00000000,158462.00000000,0.05089394,0.00000000,0.94910606,0.05089394
GNN-ActorCritic,20,4,11499.00000000,153501.00000000,0.08847727,0.00000000,0.91152273,0.08847727
GNN-ActorCritic,30,4,15032.40000000,149967.60000000,0.11524545,0.00000000,0.88475455,0.11524545
GNN-ActorCritic,10,8,11598.35000000,153401.65000000,0.07665758,0.05574394,0.86759848,0.13240152
GNN-ActorCritic,20,8,17649.80000000,147350.20000000,0.11607121,0.08146667,0.80246212,0.19753788
GNN-ActorCritic,30,8,22463.50000000,142536.50000000,0.14892576,0.09591818,0.75515606,0.24484394
