scheme,episode,reward,local_hit_rate,neighbor_fetch_rate,cloud_fetch_rate,paper_hit_rate
TemporalGraph,1,288.80000000,0.43604167,0.05812500,0.45583333,0.49416667
TemporalGraph,2,270.40000000,0.43205087,0.05166667,0.46628247,0.48371753
TemporalGraph,3,325.70000000,0.54770833,0.06180556,0.34048611,0.60951389
AWFDRL,1,257.80000000,0.44950397,0.12136905,0.35412698,0.57087302
AWFDRL,2,261.60000000,0.44576389,0.06791667,0.38631944,0.51368056
AWFDRL,3,206.20000000,0.33202381,0.16464286,0.42833333,0.49666667
MAAFDRL,1,131.80000000,0.26226190,0.11898810,0.56875000,0.38125000
MAAFDRL,2,112.50000000,0.19431548,0.05360119,0.65208333,0.24791667
MAAFDRL,3,109.50000000,0.26902778,0.09533911,0.58563312,0.36436688
DTS-DDPG,1,323.70000000,0.53970238,0.10495040,0.30534722,0.64465278
DTS-DDPG,2,228.60000000,0.34857143,0.16440476,0.43702381,0.51297619
DTS-DDPG,3,254.80000000,0.46395833,0.13083333,0.35520833,0.59479167
