epoch,loss,reward,local_hit_rate,paper_hit_rate
1,3.20409361,4.69133333,0.07409665,0.14166033
2,3.13570901,4.75900000,0.07275430,0.14599435
3,3.13220158,4.61083333,0.06743427,0.13982553
4,3.12829599,4.61716667,0.06595967,0.13825068
5,3.12664673,4.74991667,0.06735971,0.14055817
6,3.12579351,4.84983333,0.07271522,0.14717744
7,3.12470497,4.35625000,0.06485778,0.13923504
8,3.12308356,4.55516667,0.06826280,0.13640519
9,3.12300065,4.75933333,0.06673938,0.14360027
10,3.12385158,4.54941667,0.06716881,0.13915385
11,3.12142756,4.38641667,0.06272534,0.13819842
12,3.12096978,4.64758333,0.06729048,0.14037808
13,3.12015385,4.41566667,0.06429623,0.13735927
14,3.12217323,4.76583333,0.06929630,0.14303386
15,3.12298927,4.54925000,0.06778575,0.14079814
16,3.12200866,4.51008333,0.06670292,0.14111867
17,3.12182842,4.68833333,0.06913643,0.14799121
18,3.12147701,4.30575000,0.06454496,0.13866250
19,3.12180214,4.49858333,0.06537761,0.14029909
20,3.12181731,4.62133333,0.06601100,0.14172880
21,3.12132453,4.68766667,0.06794238,0.14075616
22,3.12181942,4.50158333,0.06589759,0.14069964
23,3.12230778,4.43950000,0.06732651,0.14505102
24,3.12069917,4.40750000,0.06406750,0.14039861
25,3.12071926,4.64391667,0.06782933,0.14542683
