epoch,loss,reward,local_hit_rate,paper_hit_rate
1,0.31622558,19641.18967689,0.05637615,0.11750470
2,-0.03155627,20255.29761613,0.06352125,0.12082737
3,0.33660281,21780.71226936,0.07023290,0.12975297
4,-0.18235072,20211.50244572,0.06506307,0.12050827
5,-0.65238098,20191.65529267,0.06246795,0.12055211
6,-0.68553248,19864.03002716,0.05999952,0.11865219
7,-0.24171470,19788.24897924,0.06055336,0.11823757
8,-0.84014126,21849.92735974,0.07158510,0.12997747
9,0.89609963,21014.07353529,0.06942337,0.12499136
10,-0.21072873,21661.16991929,0.07598428,0.12861396
11,-0.40166657,22021.48026625,0.07698105,0.13086060
12,-0.01591982,21926.81278372,0.07557742,0.13021272
13,-0.15709551,21601.60961390,0.07836016,0.12830266
14,0.08701155,21522.93599889,0.07675397,0.12774821
15,0.04181054,21651.39376725,0.07622814,0.12849438
