scheme,episode,reward,local_hit_rate,neighbor_fetch_rate,cloud_fetch_rate,paper_hit_rate
Our-TemporalGraph,1,507.90000000,0.06925266,0.04989945,0.88084789,0.11915211
Our-TemporalGraph,2,718.80000000,0.08874497,0.07139231,0.83986272,0.16013728
Our-TemporalGraph,3,617.80000000,0.07521438,0.05519997,0.86958565,0.13041435
Our-TemporalGraph,4,474.30000000,0.06677972,0.06769131,0.86552897,0.13447103
Our-TemporalGraph,5,645.80000000,0.07755780,0.07320009,0.84924211,0.15075789
Our-TemporalGraph,6,524.00000000,0.06941280,0.06246520,0.86812200,0.13187800
Our-TemporalGraph,7,572.50000000,0.07084825,0.06177684,0.86737492,0.13262508
Our-TemporalGraph,8,503.00000000,0.06588324,0.06642476,0.86769200,0.13230800
Our-TemporalGraph,9,583.20000000,0.06913469,0.06170151,0.86916380,0.13083620
Our-TemporalGraph,10,505.80000000,0.06279801,0.06279886,0.86606979,0.12559688
Paper2-AWFDRL-like,1,460.10000000,0.07010556,0.08563214,0.84426229,0.15573771
Paper2-AWFDRL-like,2,469.70000000,0.05688490,0.08444424,0.85867086,0.14132914
Paper2-AWFDRL-like,3,428.30000000,0.07223425,0.06392813,0.86383762,0.13616238
Paper3-MAAFDRL-like,1,290.50000000,0.08688169,0.03895750,0.87416081,0.12583919
Paper3-MAAFDRL-like,2,201.80000000,0.06859706,0.05837124,0.87303170,0.12696830
Paper3-MAAFDRL-like,3,160.20000000,0.06913276,0.04734135,0.88352589,0.11647411
Paper4-DTS-DDPG-like,1,481.00000000,0.06525424,0.07134821,0.86339754,0.13660246
Paper4-DTS-DDPG-like,2,369.80000000,0.06089833,0.06402356,0.87507811,0.12492189
Paper4-DTS-DDPG-like,3,416.60000000,0.05571256,0.06279312,0.88149433,0.11850567
