time_s,mean_latency_ms,p95_latency_ms,mean_distance
0.000,6.877024,8.158722,37.540488
1.000,6.885476,8.239266,37.509515
2.000,6.878684,8.197287,37.473686
3.000,6.883405,8.201186,37.468104
4.000,6.872670,8.160218,37.453398
5.000,6.885034,8.237542,37.500687
6.000,6.889668,8.281603,37.593360
7.000,6.887751,8.226212,37.655023
8.000,6.886153,8.182561,37.623059
9.000,6.887170,8.193392,37.643396
10.000,6.885041,8.177276,37.700824
11.000,6.887181,8.173905,37.643613
12.000,6.889302,8.193640,37.586035
13.000,6.880598,8.165607,37.611969
14.000,6.880233,8.186364,37.604661
15.000,6.878543,8.198354,37.570856
16.000,6.884873,8.191477,37.597468
17.000,6.878829,8.200817,37.576582
18.000,6.882933,8.237346,37.558667
19.000,6.877672,8.237697,37.553447
20.000,6.875814,8.217879,37.516272
21.000,6.878209,8.200845,37.564172
22.000,6.887859,8.252570,37.557174
23.000,6.889788,8.237091,37.595757
24.000,6.897298,8.216672,37.645964
25.000,6.886986,8.164317,37.639721
26.000,6.894075,8.182461,37.681497
27.000,6.888997,8.165782,37.679947
28.000,6.886398,8.149888,37.727962
29.000,6.890878,8.190219,37.717563
30.000,6.888790,8.169808,37.675807
31.000,6.888650,8.202396,37.673006
32.000,6.891410,8.152992,37.728191
33.000,6.890238,8.158150,37.704768
34.000,6.898159,8.235976,37.763177
35.000,6.899630,8.268008,37.792593
36.000,6.902887,8.280209,37.757733
37.000,6.893931,8.200664,37.778612
38.000,6.894204,8.208692,37.784082
39.000,6.898805,8.200260,37.776093
40.000,6.889532,8.158413,37.790631
41.000,6.897881,8.172144,37.857613
42.000,6.899454,8.163439,37.889086
43.000,6.901425,8.199340,37.928504
44.000,6.912326,8.196897,37.946521
45.000,6.911513,8.207942,37.930265
46.000,6.901367,8.182910,37.927332
47.000,6.904581,8.143723,37.991614
48.000,6.909213,8.163144,37.984262
49.000,6.910438,8.163709,38.008762
50.000,6.910572,8.201628,38.011437
51.000,6.904855,8.170778,38.097102
52.000,6.904190,8.181782,38.083794
53.000,6.920057,8.213361,38.101131
54.000,6.911835,8.166611,38.136691
55.000,6.923341,8.245390,38.166823
56.000,6.915162,8.155624,38.203244
57.000,6.921385,8.178973,38.227693
58.000,6.932813,8.185812,38.256251
59.000,6.928488,8.120277,38.269762
60.000,6.916967,8.087382,38.239343
61.000,6.923640,8.090182,38.272792
62.000,6.926190,8.094296,38.323804
63.000,6.927990,8.149083,38.359810
64.000,6.928942,8.153673,38.378845
65.000,6.927819,8.182136,38.356381
66.000,6.932583,8.173556,38.351651
67.000,6.930632,8.149118,38.412644
68.000,6.930805,8.132651,38.416109
69.000,6.923589,8.110410,38.471790
70.000,6.926404,8.122375,38.428080
71.000,6.926701,8.128876,38.434019
72.000,6.942887,8.207978,38.457740
73.000,6.925947,8.126007,38.418949
74.000,6.927388,8.146476,38.447760
75.000,6.931781,8.162834,38.435618
76.000,6.941275,8.197591,38.525497
77.000,6.936832,8.152283,38.536633
78.000,6.942434,8.168195,38.548690
79.000,6.940581,8.160362,38.611625
80.000,6.941763,8.133754,38.635251
81.000,6.939610,8.136216,38.592207
82.000,6.932254,8.116969,38.645078
83.000,6.939149,8.179827,38.682975
84.000,6.933107,8.120824,38.662133
85.000,6.932477,8.099664,38.649537
86.000,6.931039,8.098317,38.620782
87.000,6.935737,8.163139,38.614739
88.000,6.937562,8.140800,38.651240
89.000,6.933357,8.133279,38.667140
90.000,6.942641,8.163566,38.652814
91.000,6.943914,8.165933,38.578285
92.000,6.930221,8.139403,38.604419
93.000,6.946434,8.191069,38.628687
94.000,6.935863,8.173090,38.617268
95.000,6.947386,8.212461,38.647716
96.000,6.938268,8.183076,38.665354
97.000,6.943948,8.189620,38.678965
98.000,6.942921,8.193228,38.658423
99.000,6.942830,8.185338,38.656590
100.000,6.944731,8.166824,38.694612
101.000,6.951863,8.164780,38.737268
102.000,6.940868,8.103721,38.717351
103.000,6.939974,8.131859,38.699471
104.000,6.946780,8.111088,38.735592
105.000,6.951491,8.176439,38.729819
106.000,6.947529,8.119706,38.750576
107.000,6.940519,8.097344,38.710376
108.000,6.951162,8.150528,38.723232
109.000,6.939874,8.116852,38.697486
110.000,6.951117,8.186726,38.722340
111.000,6.949975,8.148202,38.699508
112.000,6.942553,8.123883,38.651057
113.000,6.938907,8.118995,38.678144
114.000,6.942941,8.152710,38.658818
115.000,6.932168,8.117653,38.643367
116.000,6.948424,8.173455,38.668479
