time_s,mean_latency_ms,p95_latency_ms,mean_distance
0.000,6.877024,8.158722,37.540488
1.000,6.885476,8.239266,37.509515
2.000,6.878684,8.197287,37.473686
3.000,6.883405,8.201186,37.468104
4.000,6.872670,8.160218,37.453398
5.000,6.885034,8.237542,37.500687
6.000,6.889668,8.281603,37.593360
7.000,6.887751,8.226212,37.655023
8.000,6.886153,8.182561,37.623059
9.000,6.887170,8.193392,37.643396
10.000,6.940650,8.388815,37.813006
11.000,6.903728,8.239220,37.774554
12.000,6.905008,8.212431,37.700167
13.000,6.885791,8.199033,37.715825
14.000,6.885606,8.191949,37.712122
15.000,6.889372,8.202085,37.687440
16.000,6.890797,8.178840,37.715945
17.000,6.895526,8.210941,37.710522
18.000,6.884300,8.148815,37.685997
19.000,6.894662,8.173623,37.693242
20.000,6.920829,8.399196,37.816579
21.000,6.898313,8.316658,37.866258
22.000,6.897791,8.312158,37.855818
23.000,6.900264,8.301245,37.905283
24.000,6.902563,8.264559,37.951258
25.000,6.906426,8.266133,37.928526
26.000,6.903176,8.281004,37.963524
27.000,6.897631,8.248823,37.952620
28.000,6.903800,8.283505,37.976008
29.000,6.903072,8.302378,37.961446
30.000,6.938745,8.486271,37.974899
31.000,6.897556,8.257698,37.951129
32.000,6.909945,8.280809,37.998902
33.000,6.903953,8.258578,37.979063
34.000,6.907334,8.235722,38.046684
35.000,6.924747,8.359998,38.094944
36.000,6.913275,8.333095,38.065495
37.000,6.903841,8.242218,38.076824
38.000,6.911078,8.319665,38.121558
39.000,6.916229,8.340695,38.124583
40.000,6.945592,8.523381,37.811835
41.000,6.897975,8.199931,37.859496
42.000,6.904255,8.230220,37.885108
43.000,6.900511,8.169527,37.910212
44.000,6.895938,8.172020,37.918753
45.000,6.895615,8.182113,37.912306
46.000,6.894907,8.165585,37.898140
47.000,6.903408,8.183929,37.968167
48.000,6.908136,8.223662,37.962719
49.000,6.910821,8.265801,38.016428
50.000,6.961494,8.605917,38.129886
51.000,6.914195,8.109034,38.183902
52.000,6.913030,8.144203,38.160600
53.000,6.918995,8.161917,38.179904
54.000,6.911472,8.160509,38.229438
55.000,6.918988,8.176697,38.279765
56.000,6.921260,8.167878,38.325207
57.000,6.922242,8.197106,38.344850
58.000,6.932589,8.210354,38.351783
59.000,6.934753,8.216384,38.395058
60.000,6.955596,8.468915,38.411918
61.000,6.922866,8.240535,38.457320
62.000,6.935313,8.261663,38.506266
63.000,6.932138,8.247014,38.542752
64.000,6.942598,8.282460,38.551953
65.000,6.934950,8.266072,38.498996
66.000,6.934983,8.284450,38.499660
67.000,6.946676,8.300369,38.533512
68.000,6.943191,8.257649,38.563818
69.000,6.935437,8.202858,38.608747
70.000,6.955740,8.404578,38.614808
71.000,6.941549,8.231831,38.630984
72.000,6.937716,8.275920,38.654310
73.000,6.942340,8.294839,38.646807
74.000,6.944724,8.283731,38.694476
75.000,6.940401,8.297637,38.708022
76.000,6.943315,8.286045,38.766305
77.000,6.947697,8.295393,38.753940
78.000,6.947427,8.305358,38.748541
79.000,6.953925,8.346302,38.778501
80.000,6.972150,8.267331,38.842999
81.000,6.945406,8.206335,38.808126
82.000,6.948778,8.186943,38.875550
83.000,6.968651,8.262454,38.873017
84.000,6.960198,8.215341,38.903957
85.000,6.963171,8.233774,38.863421
86.000,6.952117,8.200649,38.842346
87.000,6.947170,8.178748,38.843407
88.000,6.959114,8.243081,38.882273
89.000,6.942932,8.184961,38.858638
90.000,6.992905,8.537492,38.758108
91.000,6.938909,8.236355,38.678182
92.000,6.950270,8.254746,38.705402
93.000,6.940839,8.205789,38.716785
94.000,6.944911,8.288193,38.698219
95.000,6.946046,8.281229,38.720928
96.000,6.946431,8.297796,38.728614
97.000,6.953877,8.319471,38.777540
98.000,6.952785,8.287730,38.755702
99.000,6.941125,8.254029,38.722503
100.000,6.996455,8.799224,38.529092
101.000,6.934045,8.225182,38.580892
102.000,6.937504,8.232723,38.550076
103.000,6.941385,8.233269,38.527706
104.000,6.949575,8.290364,38.591506
105.000,6.945557,8.221879,38.611149
106.000,6.946129,8.236354,38.622581
107.000,6.928301,8.220859,38.566010
108.000,6.948040,8.286475,38.560800
109.000,6.931983,8.275941,38.539668
110.000,7.002132,8.841282,38.542633
111.000,6.930076,8.193097,38.501517
112.000,6.932536,8.181741,38.450723
113.000,6.929362,8.152769,38.487244
114.000,6.939988,8.298577,38.499761
115.000,6.933350,8.174370,38.466999
116.000,6.945124,8.351207,38.502471
