time_s,mean_latency_ms,p95_latency_ms,mean_distance
0.000,21.999802,42.927978,38.213921
1.000,21.690701,44.296523,37.745689
2.000,21.367912,44.975614,37.261254
3.000,21.029280,45.548535,36.768000
4.000,20.817645,44.182354,36.431826
5.000,20.711305,43.104791,36.186756
6.000,20.625455,43.995984,35.993512
7.000,20.660857,46.071922,35.975984
8.000,20.783202,47.996101,36.065985
9.000,20.957599,50.363387,36.246822
10.000,21.180550,50.285709,36.464535
11.000,21.413392,51.619739,36.720976
12.000,21.853296,55.268936,37.209574
13.000,22.258802,55.688941,37.678731
14.000,22.735122,54.943743,38.335438
15.000,23.144796,57.149742,38.898446
16.000,23.623749,56.041387,39.578044
17.000,24.102517,52.604285,40.299811
18.000,24.675219,51.460284,41.088506
19.000,25.171707,52.076857,41.785815
20.000,25.716979,52.087951,42.508449
21.000,26.234521,53.428447,43.203850
22.000,26.793710,54.630700,43.891209
23.000,27.292887,54.584934,44.511104
24.000,27.871982,56.917149,45.159641
25.000,28.297143,58.048628,45.631897
26.000,28.665307,56.122284,45.997721
27.000,28.981675,57.467094,46.358976
28.000,29.197734,61.017144,46.532656
29.000,29.446178,61.773239,46.738302
30.000,29.695784,61.629631,46.897551
31.000,29.901988,61.429801,47.037072
32.000,30.036941,61.807375,47.110780
33.000,30.125168,60.756132,47.221943
34.000,30.134190,61.922127,47.194999
35.000,30.148325,61.536314,47.187519
36.000,30.278401,62.347264,47.294040
37.000,30.572574,64.472509,47.470581
38.000,30.530850,65.528849,47.370065
39.000,30.417323,67.076006,47.206716
40.000,30.526575,67.282165,47.316209
41.000,30.326062,67.348987,47.048085
42.000,30.247731,67.616295,46.979173
43.000,30.208584,69.479434,46.946093
44.000,29.959244,67.660229,46.785008
45.000,30.120421,69.821406,46.826498
46.000,30.000105,68.173397,46.778499
47.000,30.311148,68.493828,47.008500
48.000,30.507248,68.492707,47.180456
49.000,30.669822,69.715047,47.271528
50.000,31.081636,68.836427,47.721531
51.000,31.169466,70.419318,47.668872
52.000,31.597017,69.387145,48.128806
53.000,31.853821,70.648695,48.330277
54.000,32.260288,69.673460,48.730582
55.000,32.538771,70.087684,49.036345
56.000,32.767330,70.031640,49.287458
57.000,32.860179,68.693220,49.486775
58.000,33.218106,68.920324,49.927400
59.000,33.066117,68.402893,49.894267
60.000,33.595987,68.563399,50.509753
61.000,33.519041,68.402585,50.569712
62.000,33.841976,67.042413,50.995161
63.000,33.426517,66.361893,50.693637
64.000,33.966489,66.728533,51.269582
65.000,34.167701,68.549319,51.403418
66.000,34.211461,67.977649,51.525443
67.000,34.952446,69.995754,52.192298
68.000,34.872099,68.031977,52.259916
69.000,34.870732,69.263148,52.204032
70.000,35.224909,68.242562,52.651205
71.000,35.123717,68.234373,52.513700
72.000,35.108387,67.186954,52.531875
73.000,35.352972,66.968452,52.717685
74.000,35.274093,67.957909,52.690251
75.000,35.539528,68.142277,52.907392
76.000,35.078297,66.664401,52.572426
77.000,35.049262,67.483641,52.443240
78.000,34.383146,64.274428,51.942347
79.000,34.659141,66.999323,52.087878
80.000,34.701112,65.965645,52.154841
81.000,34.225103,65.886113,51.683291
82.000,34.346159,63.985911,51.786183
83.000,34.061615,64.883294,51.524350
84.000,34.206005,63.697878,51.602191
85.000,34.450415,64.521849,51.909818
86.000,34.320941,63.734785,51.692531
87.000,34.188302,64.235456,51.580549
88.000,34.939349,64.978604,52.151486
89.000,34.490477,62.434300,51.852095
90.000,35.096227,65.014209,52.405494
91.000,34.679534,62.900912,52.161783
92.000,34.784773,62.671059,52.370657
93.000,34.909360,63.061717,52.527524
94.000,35.282783,63.416516,52.924052
95.000,34.768361,62.551764,52.480285
96.000,35.159657,63.414990,52.876260
97.000,35.071094,62.942834,52.798714
98.000,34.774732,63.160582,52.571118
99.000,35.286066,63.058970,53.075235
100.000,35.589186,64.780508,53.310467
101.000,35.498670,63.020744,53.380440
102.000,35.957990,66.066927,53.551773
103.000,35.995767,66.092111,53.585008
104.000,35.842722,64.873162,53.475040
105.000,36.292226,66.921514,53.828527
106.000,36.249557,65.758468,53.882224
107.000,36.443301,67.597670,53.954233
108.000,36.273425,66.689588,53.912658
109.000,36.277707,67.419211,53.734153
110.000,36.181102,67.216651,53.845393
111.000,36.702168,67.943708,54.297441
112.000,36.848390,68.979067,54.378593
113.000,36.866724,68.836913,54.395896
114.000,36.854384,68.362687,54.395194
115.000,36.069139,66.636925,53.746154
116.000,35.930094,67.830777,53.520877
117.000,36.274348,66.252784,53.889348
118.000,36.355788,68.156714,53.852159
119.000,36.071129,67.876919,53.545242
120.000,35.905120,69.102595,53.293096
121.000,35.888343,69.303490,53.181685
122.000,35.718637,68.238496,53.114586
123.000,35.153291,67.045411,52.634384
124.000,35.060834,66.556191,52.569493
125.000,35.219086,66.713847,52.604999
126.000,35.062568,67.347036,52.495669
127.000,35.601925,69.153219,52.811318
128.000,36.035162,67.995389,53.345053
129.000,35.939803,68.722122,53.182289
130.000,36.401473,68.779898,53.600209
131.000,36.125129,69.794061,53.291912
132.000,36.538962,68.773209,53.597537
133.000,37.345065,69.950650,54.409309
134.000,36.833871,67.402983,53.964763
135.000,37.909327,70.570227,54.906249
136.000,37.393951,68.073758,54.475420
137.000,38.559071,71.154070,55.513289
138.000,37.925976,70.908942,54.852162
139.000,38.874564,71.893889,55.662764
140.000,38.566629,71.072615,55.458327
141.000,38.645984,73.517265,55.382833
142.000,38.149197,70.748571,55.078570
143.000,37.928380,72.785340,54.788116
144.000,37.901139,70.963391,54.795663
145.000,37.946960,73.570964,54.789693
146.000,38.030303,72.087468,54.840764
147.000,38.169976,73.228443,54.898551
148.000,38.573787,73.821742,55.210847
149.000,38.128422,73.156614,54.914063
150.000,38.384101,73.595848,55.126061
151.000,38.356773,73.714591,55.133890
152.000,37.907778,73.935008,54.653438
153.000,37.535077,72.715595,54.405323
154.000,37.750791,73.924802,54.529780
155.000,37.308145,72.729684,54.335009
156.000,37.079804,73.704767,53.969761
157.000,37.002566,72.804548,54.121958
158.000,37.307284,73.926750,54.346509
159.000,36.590708,72.885205,53.772797
