time_s,mean_latency_ms,p95_latency_ms,mean_distance
0.000,21.999802,42.927978,38.213921
1.000,21.690701,44.296523,37.745689
2.000,21.367912,44.975614,37.261254
3.000,21.029280,45.548535,36.768000
4.000,20.817645,44.182354,36.431826
5.000,20.311766,45.878984,35.749784
6.000,20.192477,45.999689,35.434077
7.000,20.169721,47.264393,35.258032
8.000,20.241305,46.684586,35.221873
9.000,20.365793,46.342361,35.311418
10.000,19.139323,42.965697,34.059819
11.000,19.167507,44.607582,34.006213
12.000,19.367768,45.105066,34.195940
13.000,19.438057,47.312102,34.323225
14.000,19.803880,49.184990,34.793472
15.000,19.024762,43.541342,33.964550
16.000,19.416305,45.631132,34.438687
17.000,19.671689,44.131889,34.815422
18.000,20.104653,45.441926,35.391542
19.000,20.405110,45.456359,35.855565
20.000,19.987306,42.006836,35.385024
21.000,20.328446,42.729096,35.913644
22.000,20.598707,42.182527,36.370170
23.000,20.952745,43.307847,36.897109
24.000,21.398725,44.060222,37.551847
25.000,20.178762,42.402661,36.086731
26.000,20.400883,42.695140,36.448850
27.000,20.870703,42.366613,37.124809
28.000,21.185718,41.988549,37.558120
29.000,21.694500,42.189919,38.191547
30.000,19.980514,35.537305,36.065076
31.000,20.371218,36.614360,36.574508
32.000,20.555668,35.853379,36.813976
33.000,20.659230,33.792400,37.090499
34.000,20.880094,35.495196,37.352622
35.000,18.701639,32.304961,34.461201
36.000,18.910205,32.010049,34.813785
37.000,19.066612,31.996939,35.035467
38.000,19.207818,31.817860,35.208433
39.000,19.148156,30.561034,35.183124
40.000,18.681449,34.970666,34.329317
41.000,18.551517,33.984867,34.135974
42.000,18.619447,34.069152,34.334215
43.000,18.578995,34.080019,34.286610
44.000,18.578721,33.520997,34.350857
45.000,18.225124,30.756663,33.343716
46.000,18.121545,31.111837,33.319401
47.000,18.186842,30.675167,33.330528
48.000,18.115276,30.998436,33.243519
49.000,18.019920,31.598628,32.936158
50.000,16.577659,30.238301,30.264434
51.000,16.429432,30.445273,29.698089
52.000,16.317653,30.281534,29.464189
53.000,16.073063,30.396829,28.895181
54.000,15.999451,30.302962,28.604789
55.000,13.797748,25.120117,25.828463
56.000,13.765873,24.264046,25.817005
57.000,13.684792,24.676667,25.601093
58.000,13.396519,24.090098,25.235553
59.000,13.281299,24.708335,25.097569
60.000,12.648316,24.407408,24.529339
61.000,12.385732,24.152564,24.293564
62.000,12.224910,23.603228,23.935262
63.000,12.090790,23.546416,23.848794
64.000,11.956986,23.741420,23.525325
65.000,10.353271,18.307335,20.800792
66.000,10.000024,17.349762,20.126525
67.000,10.206055,18.402221,20.425593
68.000,10.029327,18.009050,20.197206
69.000,10.038075,17.794473,20.266096
70.000,8.704981,13.552265,16.724947
71.000,8.702721,13.089068,16.827347
72.000,8.765828,12.999798,16.957477
73.000,8.766699,13.552160,17.072443
74.000,8.693613,13.524192,16.871406
75.000,8.061091,13.678585,14.848768
76.000,8.041799,12.902291,14.973693
77.000,7.967100,13.442528,14.719971
78.000,7.858169,12.484865,14.479718
79.000,7.825751,12.934723,14.114946
80.000,7.363429,13.211227,12.895278
81.000,7.333593,12.974244,12.826898
82.000,7.324366,12.280834,12.911445
83.000,7.330143,12.929103,12.984630
84.000,7.336928,12.657603,13.012207
85.000,7.048347,9.827584,13.024059
86.000,7.104525,9.559338,13.386223
87.000,7.023792,9.722737,13.111190
88.000,7.148336,9.535792,13.782218
89.000,7.100557,9.669924,13.565026
90.000,7.280029,9.965822,13.733415
91.000,7.151776,9.470297,13.435610
92.000,7.104463,9.612319,13.330533
93.000,7.127692,9.792489,13.333209
94.000,7.223132,9.756575,13.745121
95.000,6.668862,8.516383,12.062811
96.000,6.704863,8.528233,12.279227
97.000,6.637744,8.331678,12.102579
98.000,6.704914,8.456511,12.260859
99.000,6.643268,8.570161,12.066074
100.000,6.463760,9.149256,10.717216
101.000,6.450467,8.990042,10.763281
102.000,6.449141,9.221157,10.529261
103.000,6.514442,9.192725,10.996139
104.000,6.455392,9.302445,10.560000
105.000,5.896594,7.114969,8.692910
106.000,5.886342,7.055790,8.732128
107.000,5.947810,7.186262,8.995338
108.000,5.961890,7.010751,9.220010
109.000,5.985430,7.222110,9.244843
110.000,6.643251,9.047297,11.438148
111.000,6.750893,9.545307,11.886045
112.000,6.635923,9.182831,11.508653
113.000,6.796711,9.690144,12.057120
114.000,6.770439,9.720544,11.784058
115.000,6.855251,9.037436,12.254649
116.000,6.893809,9.256038,12.400575
117.000,6.777845,8.804291,12.103003
118.000,6.854814,9.257148,12.272941
119.000,6.837840,9.155725,12.286560
120.000,6.175733,7.086112,10.164148
121.000,6.169783,7.324692,10.060539
122.000,6.075105,6.834818,9.716722
123.000,5.997555,6.787718,9.464507
124.000,6.021643,6.746513,9.528538
125.000,7.041567,8.913804,12.776561
126.000,7.049483,9.127444,12.878916
127.000,7.228996,9.466256,13.386058
128.000,7.103672,9.205164,12.965252
129.000,7.085146,9.336338,12.842508
130.000,6.617776,8.897712,11.754230
131.000,6.596036,8.484177,11.889111
132.000,6.558604,9.203279,11.526145
133.000,6.689209,9.377586,12.121725
134.000,6.630143,9.493682,11.856578
135.000,6.699981,8.858878,11.384416
136.000,6.770622,9.142802,11.730279
137.000,6.659099,8.520964,11.428938
138.000,6.732921,8.852587,11.662623
139.000,6.745113,8.563395,11.579535
140.000,6.377880,8.086446,10.588481
141.000,6.460313,8.207365,11.241061
142.000,6.428088,8.442288,10.838668
143.000,6.391161,8.223644,10.832109
144.000,6.405683,8.194032,10.730239
145.000,6.223748,7.331225,9.942115
146.000,6.292456,7.431071,10.423626
147.000,6.242761,7.442394,10.238878
148.000,6.353615,7.683653,10.581804
149.000,6.318050,7.581879,10.455095
150.000,5.949294,6.915586,8.640450
151.000,5.948942,6.874915,8.736404
152.000,5.914314,6.852445,8.643044
153.000,6.007601,6.892403,9.110789
154.000,5.903543,6.778476,8.653986
155.000,6.059833,7.470073,9.211852
156.000,6.102644,7.523282,9.671440
157.000,5.958458,7.023746,9.016536
158.000,6.074050,7.572394,9.465527
159.000,5.994556,7.433547,9.061257
