time_s,sbs_id,x,y
0.000,0,244.204250,61.086917
0.000,1,257.603251,175.300006
0.000,2,164.327123,138.689435
0.000,3,34.492068,54.232645
0.000,4,58.379959,162.281394
0.000,5,216.279244,248.704241
0.000,6,141.740608,46.936047
0.000,7,62.831276,262.382687
5.000,0,236.988906,63.133578
5.000,1,252.102130,170.202196
5.000,2,164.992522,131.219010
5.000,3,41.934959,55.156432
5.000,4,62.940732,156.327458
5.000,5,222.869073,245.123158
5.000,6,142.160611,54.424277
5.000,7,68.181487,257.126716
10.000,0,236.969835,70.633554
10.000,1,252.668024,177.680817
10.000,2,165.723047,138.683348
10.000,3,48.448363,58.874707
10.000,4,70.131125,154.194798
10.000,5,215.760457,242.732013
10.000,6,145.374329,61.200856
10.000,7,73.707306,252.055688
15.000,0,230.124209,73.697442
15.000,1,254.327257,184.994977
15.000,2,166.539848,146.138738
15.000,3,55.380102,61.738444
15.000,4,73.699596,147.598131
15.000,5,223.147745,241.436648
15.000,6,139.353851,65.673421
15.000,7,80.319693,248.516431
20.000,0,235.856384,78.533987
20.000,1,247.839008,181.232980
20.000,2,170.229589,139.609127
20.000,3,61.495487,66.080340
20.000,4,79.897392,151.821557
20.000,5,230.242673,239.005188
20.000,6,141.023492,72.985213
20.000,7,86.785186,244.715456
25.000,0,243.320961,77.805914
25.000,1,252.318932,187.247985
25.000,2,177.069577,136.532674
25.000,3,66.358941,71.789703
25.000,4,87.212154,153.478136
25.000,5,225.513654,233.183988
25.000,6,133.927950,75.414878
25.000,7,93.547420,241.471663
30.000,0,243.856080,70.325029
30.000,1,256.423641,193.525035
30.000,2,174.250571,137.265080
30.000,3,73.309836,74.606626
30.000,4,93.932386,156.808072
30.000,5,219.251142,229.057131
30.000,6,128.798817,80.886806
30.000,7,100.363443,238.342474
35.000,0,244.778323,62.881947
35.000,1,260.688024,199.694722
35.000,2,172.384828,144.529307
35.000,3,80.284500,77.364172
35.000,4,101.427670,157.074009
35.000,5,213.413418,224.348524
35.000,6,130.514196,88.188003
35.000,7,107.479461,235.973448
40.000,0,248.556223,56.402945
40.000,1,253.291371,200.935493
40.000,2,170.524962,151.795042
40.000,3,87.260804,80.117567
40.000,4,107.441707,152.592785
40.000,5,220.912241,224.481392
40.000,6,137.699821,86.039332
40.000,7,114.555537,233.487659
45.000,0,244.692176,49.974948
45.000,1,258.783760,206.042709
45.000,2,169.864004,144.324223
45.000,3,91.515434,86.293984
45.000,4,104.558828,159.516586
45.000,5,216.852914,218.174899
45.000,6,144.232197,89.724176
45.000,7,121.515605,230.693477
50.000,0,250.972092,45.874623
50.000,1,263.995826,211.435701
50.000,2,176.798901,141.468141
50.000,3,98.738407,88.313553
50.000,4,111.110298,163.167372
50.000,5,218.401226,211.306245
50.000,6,150.012878,84.945712
50.000,7,128.478614,227.906631
55.000,0,250.129410,40.560623
55.000,1,271.494651,211.568464
55.000,2,183.013566,137.269578
55.000,3,104.651902,92.926641
55.000,4,118.190591,165.641126
55.000,5,225.896699,211.566787
55.000,6,154.810078,90.710855
55.000,7,133.688396,222.511432
60.000,0,255.976485,35.863633
60.000,1,275.890606,217.645106
60.000,2,189.633535,133.744523
60.000,3,106.443135,100.209599
60.000,4,123.842848,170.570830
60.000,5,233.365137,212.254123
60.000,6,156.800143,97.942013
60.000,7,126.212401,221.911847
65.000,0,252.443702,40.223993
65.000,1,283.212991,219.267657
65.000,2,196.573600,130.901021
65.000,3,112.377517,104.795786
65.000,4,131.173926,172.153643
65.000,5,239.603705,208.091159
65.000,6,161.315005,103.930837
65.000,7,131.997922,226.684452
70.000,0,251.499159,46.310015
70.000,1,275.717103,219.019342
70.000,2,203.491030,128.002892
70.000,3,118.370946,109.304534
70.000,4,136.700278,177.224090
70.000,5,235.099246,202.094505
70.000,6,167.551301,99.764471
70.000,7,139.276999,228.491393
75.000,0,249.047428,48.175362
75.000,1,268.357926,217.572790
75.000,2,210.779968,126.236146
75.000,3,124.349371,113.833159
75.000,4,143.354408,180.684229
75.000,5,233.479127,194.771582
75.000,6,173.764787,95.564162
75.000,7,136.632507,235.509703
80.000,0,246.240473,54.050269
80.000,1,272.916235,223.431583
80.000,2,212.878485,133.436579
80.000,3,130.751739,109.926795
80.000,4,149.950030,184.254630
80.000,5,235.584799,187.573238
80.000,6,180.703752,98.410345
80.000,7,143.039516,231.610955
85.000,0,252.130355,49.407070
85.000,1,280.315002,224.659688
85.000,2,219.633629,130.178047
85.000,3,134.376491,116.492706
85.000,4,152.340724,191.363398
85.000,5,239.913686,193.697840
85.000,6,177.914958,105.372573
85.000,7,143.552705,239.093377
90.000,0,259.605265,48.794119
90.000,1,285.589475,222.390504
90.000,2,212.365227,128.328632
90.000,3,140.168078,121.257946
90.000,4,152.819270,198.848115
90.000,5,243.653550,200.198872
90.000,6,183.847550,100.784072
90.000,7,150.780703,237.091864
95.000,0,262.951368,42.081921
95.000,1,283.265004,219.424721
95.000,2,207.093126,124.060790
95.000,3,143.456562,127.998560
95.000,4,150.879125,191.603404
95.000,5,247.192559,206.811391
95.000,6,188.190659,106.898596
95.000,7,145.389406,234.278387
100.000,0,261.878882,34.846280
100.000,1,283.440760,216.537333
100.000,2,207.376531,121.065059
100.000,3,142.555851,135.444278
100.000,4,158.269470,192.881216
100.000,5,254.085015,209.768424
100.000,6,192.505369,113.033193
100.000,7,152.147187,231.025328
105.000,0,258.060893,28.390820
105.000,1,283.202412,224.033544
105.000,2,214.507433,123.388898
105.000,3,146.098517,142.054839
