time_s,mean_latency_ms,p95_latency_ms,mean_distance
0.000,21.650067,44.910156,37.540488
1.000,21.667225,45.252650,37.461799
2.000,21.571501,44.547522,37.338400
3.000,21.588100,46.392172,37.318565
4.000,21.486193,45.538189,37.239736
5.000,21.599783,45.283729,37.389630
6.000,21.767772,44.832355,37.615343
7.000,21.733414,44.637743,37.617597
8.000,21.803632,44.638235,37.670178
9.000,22.080473,46.846088,37.947547
10.000,22.216339,45.719306,38.119225
11.000,22.405757,45.557197,38.416445
12.000,22.282264,44.122636,38.334247
13.000,22.273623,45.255557,38.273110
14.000,22.289906,45.400121,38.189011
15.000,22.270073,43.883953,38.263271
16.000,22.320195,44.422143,38.337440
17.000,22.257826,44.797319,38.323136
18.000,22.396931,45.825458,38.496417
19.000,22.478577,47.568722,38.550322
20.000,22.179025,44.658807,38.112809
21.000,22.207866,45.197437,38.165766
22.000,22.383544,45.320921,38.410834
23.000,22.314564,45.148646,38.332095
24.000,22.390669,44.869022,38.364139
25.000,22.271166,46.888131,38.126656
26.000,22.247903,47.347275,38.057715
27.000,22.373131,47.605098,38.258849
28.000,22.264628,45.977697,38.133765
29.000,22.262788,46.833906,38.139562
30.000,22.173763,45.311280,38.061859
31.000,22.161835,45.294174,38.003793
32.000,22.221133,44.503674,38.061671
33.000,22.254052,46.816590,37.954201
34.000,22.388471,46.422767,38.124909
35.000,22.597527,46.892642,38.369189
36.000,22.561623,47.497724,38.279261
37.000,22.450795,47.260162,38.168060
38.000,22.406745,46.939490,38.146369
39.000,22.386428,46.541646,38.177298
40.000,22.508449,46.643465,38.309213
41.000,22.715954,47.184822,38.609322
42.000,22.530669,47.516425,38.469767
43.000,22.523255,47.945808,38.543750
44.000,22.531812,46.649739,38.509226
45.000,22.480324,45.760320,38.504827
46.000,22.451274,46.046755,38.528555
47.000,22.248444,45.138947,38.311796
48.000,22.332602,45.537005,38.425559
49.000,22.438166,45.689889,38.553276
50.000,22.346597,45.491771,38.410256
51.000,22.439157,44.846780,38.451560
52.000,22.613045,45.535314,38.700519
53.000,22.498939,44.936061,38.497253
54.000,22.209693,45.368660,38.164659
55.000,22.247075,44.614974,38.251304
56.000,22.533256,45.547754,38.598572
57.000,22.634001,46.594359,38.705519
58.000,22.674509,45.989998,38.706813
59.000,22.750045,46.250692,38.850142
60.000,22.800138,45.755251,38.965464
61.000,22.884814,46.361802,39.109142
62.000,22.820757,46.323501,39.080731
63.000,22.984342,46.358400,39.181528
64.000,23.150717,46.258709,39.308549
65.000,23.031802,46.461520,39.104246
66.000,23.237729,47.379612,39.330533
67.000,23.080068,45.683210,39.173492
68.000,22.922365,46.251992,38.988462
69.000,22.957432,47.453319,39.043226
70.000,22.712488,46.362420,38.753161
71.000,22.780857,46.351210,38.857162
72.000,23.042557,47.923125,39.130958
73.000,22.965865,45.430433,39.047613
74.000,22.802461,43.941196,38.804067
75.000,22.876427,44.993790,38.946481
76.000,23.047463,47.802906,39.102242
77.000,22.934996,46.765534,38.985909
78.000,22.786269,47.586468,38.778749
79.000,22.807459,45.119662,38.773065
80.000,22.521200,46.612569,38.286995
81.000,22.348200,45.526257,38.150862
82.000,22.462956,47.180271,38.396320
83.000,22.669179,48.739151,38.572388
84.000,22.841045,48.179639,38.689447
85.000,23.006524,49.368955,38.883960
86.000,22.959220,47.267526,38.801297
87.000,23.051153,48.414304,38.971955
88.000,22.976822,47.632087,38.903948
89.000,23.042719,47.881074,39.020235
90.000,23.297910,48.389249,39.286847
91.000,23.172434,48.821270,39.184556
92.000,23.235752,46.754260,39.320989
93.000,23.225356,48.182352,39.320565
94.000,23.328689,47.872598,39.477070
95.000,23.270229,47.228111,39.566272
96.000,23.315341,47.339512,39.544909
97.000,23.400657,46.996136,39.594614
98.000,23.395939,47.350949,39.598675
99.000,23.602555,47.271520,39.802285
100.000,23.658920,48.492193,39.888728
101.000,23.349296,48.941839,39.566196
102.000,23.269457,48.170448,39.500660
103.000,23.167388,48.817779,39.322871
104.000,23.210796,47.336901,39.394091
105.000,23.346341,47.198775,39.634796
106.000,23.314053,47.418725,39.544117
107.000,23.278417,46.075745,39.563858
108.000,23.331216,47.565564,39.627089
109.000,23.175772,47.483543,39.529720
110.000,23.225468,45.973643,39.570489
111.000,23.283969,46.137111,39.620589
112.000,23.179853,46.401830,39.451855
113.000,23.098206,46.524131,39.318834
114.000,23.186206,47.803236,39.405719
115.000,23.045122,48.731981,39.230682
116.000,22.982726,48.485882,39.233407
117.000,23.014238,47.266893,39.230929
118.000,23.246366,48.236927,39.456595
119.000,23.276501,47.509963,39.504373
120.000,23.311106,48.342845,39.500334
121.000,23.406274,47.865726,39.625775
122.000,23.528662,48.956125,39.770183
123.000,23.657171,48.838413,39.878585
124.000,23.527742,48.045410,39.776443
125.000,23.509288,47.604514,39.812206
126.000,23.578249,48.607223,40.000774
127.000,23.677522,49.708638,40.046982
128.000,23.680480,50.100504,40.078591
129.000,23.719865,50.560261,40.058957
130.000,23.703835,49.358901,40.063945
131.000,23.678311,50.162379,40.015257
132.000,23.591157,49.189310,39.932619
133.000,23.562186,50.476624,39.935688
134.000,23.614873,49.997468,39.994740
135.000,23.483706,48.415524,39.787115
136.000,23.568022,49.785398,39.798199
137.000,23.468179,50.787418,39.635637
138.000,23.614550,50.957881,39.693684
139.000,23.557541,51.902817,39.576773
140.000,23.494864,50.581670,39.592339
141.000,23.415483,50.510978,39.464863
142.000,23.357657,50.517285,39.380047
143.000,23.334382,49.043379,39.401169
144.000,23.254363,49.120610,39.294781
145.000,23.339090,49.689238,39.419734
146.000,23.457790,49.942677,39.628622
147.000,23.363141,49.398058,39.547504
148.000,23.411081,47.128415,39.622386
149.000,23.510229,49.071413,39.673339
