time_s,mean_latency_ms,p95_latency_ms,mean_distance
0.000,21.650067,44.910156,37.540488
1.000,21.667225,45.252650,37.461799
2.000,21.571501,44.547522,37.338400
3.000,21.588100,46.392172,37.318565
4.000,21.486193,45.538189,37.239736
5.000,21.837866,45.509344,37.666690
6.000,21.901216,45.242729,37.735414
7.000,21.880854,46.104669,37.747953
8.000,21.937464,45.315568,37.738881
9.000,22.206586,43.571790,38.013530
10.000,22.051022,43.653020,37.988730
11.000,22.232122,44.929518,38.254976
12.000,22.117084,44.499757,38.211504
13.000,22.015983,44.637352,38.047652
14.000,21.984072,44.456028,37.966566
15.000,21.951861,44.549493,38.197890
16.000,21.917036,42.612170,38.157834
17.000,22.001089,42.448102,38.289913
18.000,22.216078,45.258136,38.451376
19.000,22.225004,44.396231,38.461662
20.000,22.413975,46.119747,38.545327
21.000,22.439694,45.547567,38.590057
22.000,22.601280,46.331446,38.773037
23.000,22.606349,45.932833,38.812420
24.000,22.680610,46.062505,38.858709
25.000,22.143901,45.436917,38.210807
26.000,22.058891,46.135756,38.066466
27.000,22.146908,45.465599,38.174127
28.000,22.083672,45.931864,38.049354
29.000,22.178750,46.067903,38.114888
30.000,21.988504,47.160954,37.874028
31.000,21.947939,46.257959,37.779349
32.000,21.984413,47.306789,37.793042
33.000,21.965070,47.895923,37.666266
34.000,21.863134,48.397558,37.658845
35.000,21.826179,45.009267,37.661133
36.000,21.925476,46.975175,37.786100
37.000,21.894675,47.174496,37.750753
38.000,21.859695,47.643586,37.762548
39.000,21.991756,46.343169,37.915422
40.000,22.362961,50.212481,38.219779
41.000,22.483199,50.272728,38.339691
42.000,22.391218,50.726348,38.231349
43.000,22.389577,49.643080,38.260164
44.000,22.417414,49.104712,38.251475
45.000,21.948335,47.902505,37.888777
46.000,21.958231,47.449365,37.946032
47.000,21.790088,47.019882,37.767629
48.000,21.906638,47.477493,37.954053
49.000,21.973970,47.212547,38.061936
50.000,22.120952,48.139694,38.130716
51.000,22.290698,48.102829,38.296378
52.000,22.443988,47.633780,38.508466
53.000,22.319430,47.377421,38.264948
54.000,22.161049,47.511380,38.010718
55.000,21.932088,47.794353,37.824739
56.000,22.077101,48.272580,38.012325
57.000,22.152344,48.154577,38.053487
58.000,22.136780,49.182426,38.035151
59.000,22.208469,47.864861,38.108860
60.000,22.383597,48.534352,38.269975
61.000,22.437849,49.434409,38.346679
62.000,22.347089,46.109581,38.240900
63.000,22.497419,47.047093,38.342951
64.000,22.514145,46.414552,38.361164
65.000,22.235052,45.033226,38.223350
66.000,22.453706,46.091295,38.450860
67.000,22.281612,45.833088,38.296659
68.000,22.151981,44.317355,38.140588
69.000,22.241829,45.148413,38.269934
70.000,22.396804,46.744854,38.373913
71.000,22.424390,48.423604,38.375740
72.000,22.585075,48.278369,38.557746
73.000,22.509526,49.305423,38.481794
74.000,22.437606,48.366490,38.313223
75.000,22.426787,47.142748,38.598262
76.000,22.424961,45.922642,38.591546
77.000,22.482613,46.212899,38.651453
78.000,22.455159,45.847818,38.539621
79.000,22.391575,46.388688,38.418458
80.000,22.099266,46.521788,37.941118
81.000,22.045924,45.740037,37.906829
82.000,22.094006,45.105853,37.914384
83.000,22.191096,44.373945,38.026119
84.000,22.334285,44.102975,38.102082
85.000,22.547394,48.541661,38.260553
86.000,22.272908,48.329833,37.963720
87.000,22.389562,47.286654,38.120256
88.000,22.294618,47.308320,38.009734
89.000,22.259164,49.351307,37.953672
90.000,22.509899,48.247778,38.279332
91.000,22.506042,48.570988,38.314810
92.000,22.571384,49.670491,38.375720
93.000,22.671083,47.930167,38.565632
94.000,22.653614,48.551300,38.503110
95.000,22.302874,45.644075,38.282981
96.000,22.370154,46.456296,38.391492
97.000,22.478423,46.700045,38.523132
98.000,22.583234,47.264460,38.586523
99.000,22.712141,48.317737,38.700517
100.000,22.917806,49.476718,38.890476
101.000,22.783094,50.954178,38.773879
102.000,22.815652,49.782492,38.838143
103.000,22.823233,50.104272,38.821698
104.000,22.884382,52.494839,38.814522
105.000,23.108699,49.617956,39.080052
106.000,23.169446,51.317305,39.109063
107.000,22.985956,50.048847,38.863290
108.000,23.068013,48.243762,38.995333
109.000,23.028717,48.947966,38.992336
110.000,23.288696,49.344872,39.229220
111.000,23.235132,50.081881,39.156229
112.000,23.292486,51.252211,39.202582
113.000,23.448659,50.609006,39.365888
114.000,23.498997,48.989247,39.378714
115.000,23.742137,52.769432,39.634401
116.000,23.846940,53.067824,39.724597
117.000,23.920667,54.393541,39.945783
118.000,23.976124,52.499532,40.084084
119.000,23.990445,54.152466,40.046844
120.000,23.986348,53.478066,39.865682
121.000,24.060277,52.396783,40.037536
122.000,24.117855,54.027093,40.068877
123.000,24.018356,52.674803,39.977788
124.000,24.010480,53.283686,39.951674
125.000,23.504189,51.479072,39.577651
126.000,23.448043,50.069075,39.574915
127.000,23.454417,49.707111,39.671647
128.000,23.389274,49.243444,39.584971
129.000,23.606642,50.067655,39.914174
130.000,23.218913,47.622808,39.617150
131.000,23.177931,48.374246,39.612316
132.000,23.281239,47.078708,39.685364
133.000,23.281041,47.262906,39.671508
134.000,23.171274,47.419364,39.497581
135.000,23.155588,48.080819,39.392541
136.000,23.190289,48.457735,39.476315
137.000,23.227064,47.261009,39.475244
138.000,23.431065,47.174619,39.619723
139.000,23.367199,47.631221,39.525326
140.000,23.414666,50.305646,39.543192
141.000,23.421805,49.586953,39.524003
142.000,23.494045,50.620775,39.542711
143.000,23.410957,48.740455,39.529722
144.000,23.318341,49.285012,39.466824
145.000,23.007318,50.053687,38.873241
146.000,23.153564,51.423725,39.087513
147.000,23.216303,49.541474,39.105613
148.000,23.107809,49.554578,39.002481
149.000,23.254386,51.135356,39.114243
