time_s,sbs_id,x,y
0.000,0,228.423000,251.781260
0.000,1,238.631666,55.931658
0.000,2,245.830754,164.037563
0.000,3,34.415232,150.606074
0.000,4,123.390052,181.010583
0.000,5,58.027437,264.730272
0.000,6,36.309398,48.870462
0.000,7,145.448852,66.412081
5.000,0,235.915295,251.441398
5.000,1,232.682673,60.498875
5.000,2,249.311316,164.677628
5.000,3,40.443940,155.067539
5.000,4,123.919025,173.529260
5.000,5,55.888167,257.541842
5.000,6,35.164216,56.282517
5.000,7,140.300509,60.958224
10.000,0,236.910314,250.364350
10.000,1,237.630554,57.765265
10.000,2,248.737489,159.703279
10.000,3,43.615198,153.899737
10.000,4,130.700111,176.733455
10.000,5,62.403103,261.257433
10.000,6,35.277819,50.769389
10.000,7,144.246234,60.464964
15.000,0,229.663008,252.294778
15.000,1,239.723833,64.967222
15.000,2,250.785493,166.918242
15.000,3,50.111293,157.648171
15.000,4,138.108087,175.562178
15.000,5,59.088205,262.014005
15.000,6,36.448922,55.292367
15.000,7,150.647809,56.557300
20.000,0,222.165901,252.503086
20.000,1,236.298072,58.295328
20.000,2,253.218084,174.012782
20.000,3,57.571964,156.881112
20.000,4,130.608558,175.646215
20.000,5,55.369554,255.500816
20.000,6,35.448971,62.725408
20.000,7,143.363266,54.772523
25.000,0,228.538640,248.548570
25.000,1,238.722071,64.398683
25.000,2,256.034265,167.061586
25.000,3,53.101232,150.859273
25.000,4,137.565371,172.843938
25.000,5,62.484201,253.127676
25.000,6,36.255625,55.268914
25.000,7,144.184061,47.317572
30.000,0,235.076961,244.874286
30.000,1,231.536534,66.547648
30.000,2,251.302915,161.242280
30.000,3,48.142545,156.486121
30.000,4,134.657639,179.757338
30.000,5,63.685131,260.530903
30.000,6,36.886505,47.795495
30.000,7,151.615125,48.332110
35.000,0,238.497727,251.548742
35.000,1,235.753156,68.726123
35.000,2,249.884387,168.606910
35.000,3,49.567559,150.380181
35.000,4,142.115969,180.546842
35.000,5,65.723097,256.636804
35.000,6,35.881392,50.637421
35.000,7,146.356026,53.679247
40.000,0,240.789441,244.407450
40.000,1,243.006236,66.817502
40.000,2,243.259219,165.091636
40.000,3,44.878194,156.233373
40.000,4,135.219740,177.598617
40.000,5,73.079778,258.095997
40.000,6,39.651589,57.120909
40.000,7,144.664891,47.847660
45.000,0,243.466329,244.870044
45.000,1,243.813651,59.361090
45.000,2,243.177697,157.592080
45.000,3,50.407956,154.016025
45.000,4,137.195347,184.833739
45.000,5,65.711153,259.493625
45.000,6,39.131985,49.642104
45.000,7,146.408053,55.142273
50.000,0,245.596623,237.678949
50.000,1,240.641288,63.898316
50.000,2,238.846672,163.715169
50.000,3,53.692768,160.758430
50.000,4,141.937988,179.023630
50.000,5,61.484609,260.123624
50.000,6,38.952856,53.631335
50.000,7,139.347363,52.613110
55.000,0,238.774243,240.794255
55.000,1,233.281188,62.456463
55.000,2,243.364465,169.701783
55.000,3,46.605981,163.213517
55.000,4,135.308203,175.517073
55.000,5,67.551375,260.229194
55.000,6,46.448551,53.377239
55.000,7,142.378911,59.473119
60.000,0,241.455519,233.789917
60.000,1,238.836197,67.495499
60.000,2,239.800501,163.102680
60.000,3,53.143872,161.109829
60.000,4,141.028737,180.367381
60.000,5,63.521812,258.785344
60.000,6,39.163134,55.158448
60.000,7,136.090620,55.385650
65.000,0,240.751968,241.256845
65.000,1,245.193219,63.515765
65.000,2,237.509495,168.477623
65.000,3,49.338526,162.691821
65.000,4,138.388517,187.387298
65.000,5,62.742262,259.257884
65.000,6,41.052888,52.472236
65.000,7,141.854652,60.184185
70.000,0,244.221684,234.607704
70.000,1,252.666486,62.883092
70.000,2,231.749117,163.674702
70.000,3,56.553652,160.644392
70.000,4,139.176989,194.845737
70.000,5,55.576065,257.045281
70.000,6,34.528923,56.171950
70.000,7,137.929706,53.793192
75.000,0,245.757163,235.492139
75.000,1,245.405526,61.004673
75.000,2,229.824643,156.425813
75.000,3,49.270916,162.436533
75.000,4,140.920540,202.140258
75.000,5,61.143616,261.885405
75.000,6,41.430122,53.235379
75.000,7,135.215136,60.784694
80.000,0,248.522616,242.463672
80.000,1,244.035239,61.128927
80.000,2,229.213829,161.644641
80.000,3,56.303253,159.829574
80.000,4,143.251217,209.268928
80.000,5,56.694982,256.634166
80.000,6,37.260326,51.547824
80.000,7,139.976986,54.990319
85.000,0,249.155110,234.990389
85.000,1,241.523275,68.195753
85.000,2,221.949491,159.779327
85.000,3,51.299929,165.416768
85.000,4,148.546158,214.580576
85.000,5,62.983407,260.721429
85.000,6,36.379286,58.995896
85.000,7,138.098569,47.729358
90.000,0,242.307356,238.049517
90.000,1,237.560756,61.827987
90.000,2,217.264368,153.922739
90.000,3,49.791934,158.069936
90.000,4,145.662440,207.657125
90.000,5,61.000066,253.488424
90.000,6,43.570182,56.864932
90.000,7,143.035151,53.375611
95.000,0,248.021964,233.192228
95.000,1,243.829273,57.710256
95.000,2,222.227384,148.299708
95.000,3,54.043339,162.455352
95.000,4,152.825358,209.880324
95.000,5,64.174331,258.828820
95.000,6,39.230951,57.538852
95.000,7,142.044109,54.100354
100.000,0,240.986100,235.789653
100.000,1,241.438320,64.818937
100.000,2,214.801496,149.351463
100.000,3,53.339374,167.031478
100.000,4,160.196041,208.493594
100.000,5,67.066955,258.385322
100.000,6,39.085041,58.889948
100.000,7,140.445542,46.772695
105.000,0,245.736090,239.170024
105.000,1,240.976447,68.520003
105.000,2,221.383967,152.946054
105.000,3,60.716571,165.679826
