time_s,mean_latency_ms,p95_latency_ms,mean_distance
0.000,21.650067,44.910156,37.540488
1.000,21.650917,45.548279,37.488886
2.000,21.584032,45.943683,37.408444
3.000,21.589549,45.392074,37.398515
4.000,21.556113,45.436845,37.367283
5.000,21.630223,46.135871,37.459017
6.000,21.689871,45.545010,37.533575
7.000,21.676607,44.686267,37.547527
8.000,21.685873,44.252246,37.563739
9.000,21.877774,45.865258,37.739594
10.000,21.943441,47.290736,37.815622
11.000,22.045176,45.974422,37.961463
12.000,22.006978,46.084996,37.942496
13.000,21.989695,45.780915,37.895236
14.000,22.009571,45.133894,37.861324
15.000,21.957623,45.264447,37.835089
16.000,21.952579,46.273399,37.840550
17.000,21.913403,45.999455,37.829190
18.000,21.973832,45.569764,37.916421
19.000,21.984143,45.587909,37.938757
20.000,21.837186,45.577264,37.721533
21.000,21.884365,46.595065,37.789983
22.000,21.972258,45.249508,37.909342
23.000,21.905290,46.452540,37.836183
24.000,21.965322,45.778319,37.847618
25.000,21.913519,45.537634,37.740142
26.000,21.924313,46.339421,37.729109
27.000,22.002413,46.592395,37.848554
28.000,21.909693,45.583207,37.745816
29.000,21.929322,45.777226,37.761021
30.000,21.899104,44.581670,37.697901
31.000,21.864397,46.271283,37.650174
32.000,21.815725,45.550912,37.606337
33.000,21.793241,46.089998,37.528954
34.000,21.871812,45.635409,37.617183
35.000,21.943082,45.989037,37.702264
36.000,21.917263,46.136391,37.684072
37.000,21.924544,47.130259,37.660335
38.000,21.935954,46.712017,37.644922
39.000,21.919844,45.662498,37.669183
40.000,21.939162,46.411754,37.687095
41.000,22.021900,46.081239,37.789997
42.000,21.997480,46.417885,37.753391
43.000,22.018205,46.884834,37.810696
44.000,21.989625,46.748601,37.776824
45.000,21.981437,45.832908,37.760900
46.000,21.940357,46.679122,37.722118
47.000,21.866970,46.236605,37.640336
48.000,21.885140,46.536083,37.698131
49.000,21.891521,45.926732,37.713923
50.000,21.868214,45.694886,37.706255
51.000,21.900680,46.047949,37.718105
52.000,21.997731,45.370362,37.892407
53.000,21.929668,44.998647,37.780384
54.000,21.857539,45.236233,37.702743
55.000,21.931213,45.760624,37.825107
56.000,21.986299,46.458104,37.928038
57.000,21.918513,45.905399,37.875806
58.000,21.907273,45.018539,37.869637
59.000,21.967325,44.807461,37.974021
60.000,21.987982,44.110025,38.011375
61.000,21.975454,44.946804,38.029182
62.000,21.958341,43.402551,38.004861
63.000,22.044061,43.006596,38.065485
64.000,22.148585,44.134448,38.144162
65.000,22.105644,43.651642,38.060323
66.000,22.158510,44.022201,38.134827
67.000,22.099109,44.029579,38.041075
68.000,22.035473,43.147039,37.964020
69.000,22.022427,43.461291,37.968493
70.000,21.916389,43.984120,37.830156
71.000,21.963152,42.639619,37.902850
72.000,22.057781,42.557513,38.029023
73.000,21.978739,41.790330,37.917661
74.000,21.895494,43.191971,37.837594
75.000,21.987662,42.703642,37.907772
76.000,22.012639,42.701161,37.929757
77.000,21.966919,42.706640,37.886439
78.000,21.949061,43.548866,37.829609
79.000,21.945300,43.113298,37.796865
80.000,21.904260,45.394077,37.686685
81.000,21.925717,44.367941,37.686905
