time_s,mean_latency_ms,p95_latency_ms,mean_distance
0.000,21.650067,44.910156,37.540488
1.000,21.650917,45.548279,37.488886
2.000,21.584032,45.943683,37.408444
3.000,21.589549,45.392074,37.398515
4.000,21.556113,45.436845,37.367283
5.000,21.903340,47.736661,37.751397
6.000,21.910536,46.879985,37.771597
7.000,21.883895,47.001863,37.778159
8.000,21.891799,44.540926,37.769799
9.000,22.033636,45.730970,37.904658
10.000,21.918268,46.253831,37.802335
11.000,22.011240,46.428504,37.924324
12.000,22.009227,46.751261,37.946081
13.000,21.956038,47.532376,37.854803
14.000,21.938316,48.130315,37.790668
15.000,22.145096,45.868857,38.056283
16.000,22.144936,45.843905,38.078445
17.000,22.143409,45.101864,38.093829
18.000,22.193367,45.664254,38.126316
19.000,22.208113,45.016634,38.147983
20.000,22.379888,44.823051,38.257652
21.000,22.349973,45.689596,38.242773
22.000,22.451733,46.730006,38.343226
23.000,22.421933,45.129378,38.327971
24.000,22.466660,46.317372,38.353196
25.000,22.633141,49.320403,38.517610
26.000,22.574042,47.343161,38.438074
27.000,22.572737,47.019768,38.438330
28.000,22.541528,48.051284,38.402070
29.000,22.564946,48.121212,38.415592
30.000,21.901637,45.612627,37.697683
31.000,21.862692,46.552151,37.639583
32.000,21.868156,46.514210,37.641229
33.000,21.890506,47.860029,37.576622
34.000,21.911606,45.908162,37.591992
35.000,21.780617,46.033895,37.651794
36.000,21.827335,46.111044,37.708951
37.000,21.805279,46.880687,37.681668
38.000,21.811554,45.807981,37.673352
39.000,21.866254,45.366496,37.761594
40.000,22.008299,47.705432,37.935904
41.000,22.012890,47.265526,37.919449
42.000,21.963215,47.538203,37.837123
43.000,22.017253,47.248191,37.929963
44.000,22.002733,46.629639,37.897825
45.000,21.630567,45.927615,37.561123
46.000,21.593111,46.705828,37.514815
47.000,21.560857,46.709790,37.485856
48.000,21.607314,47.229978,37.557509
49.000,21.619124,45.963769,37.572599
50.000,22.009362,45.938941,37.836648
51.000,22.051728,45.885978,37.914968
52.000,22.125415,45.984215,38.075895
53.000,21.996981,46.142882,37.931405
54.000,21.892483,45.719288,37.764696
55.000,21.898175,45.297584,37.867423
56.000,21.967894,44.496995,37.974582
57.000,21.964447,44.474890,37.952356
58.000,21.914727,45.586965,37.926293
59.000,21.955695,44.614999,37.978852
60.000,21.900104,44.752831,37.899136
61.000,21.956993,44.049440,37.964166
62.000,21.928188,44.472260,37.891447
63.000,21.950854,45.954737,37.909664
64.000,21.971817,46.612260,37.940123
65.000,21.993540,46.895994,37.875890
66.000,22.044913,45.772716,37.968236
67.000,22.003687,45.279449,37.872807
68.000,21.959162,45.223183,37.816147
69.000,21.903402,44.982780,37.771310
70.000,21.501394,45.329520,37.443480
71.000,21.511857,44.719002,37.485814
72.000,21.635859,45.124541,37.610800
73.000,21.562296,44.861710,37.513811
74.000,21.497871,44.135022,37.450956
75.000,21.876615,46.670747,37.796976
76.000,21.870742,46.756753,37.767099
77.000,21.887266,45.628407,37.801535
78.000,21.910525,45.876969,37.801061
79.000,21.857269,46.613015,37.718993
80.000,21.443106,45.060158,37.285780
81.000,21.498235,45.166489,37.324879
