time_s,sbs_id,x,y
0.000,0,228.423000,251.781260
0.000,1,238.631666,55.931658
0.000,2,245.830754,164.037563
0.000,3,34.415232,150.606074
0.000,4,123.390052,181.010583
0.000,5,58.027437,264.730272
0.000,6,36.309398,48.870462
0.000,7,145.448852,66.412081
5.000,0,235.879080,250.970789
5.000,1,232.799634,58.943609
5.000,2,247.725733,161.939251
5.000,3,40.709162,154.684853
5.000,4,124.647192,173.616694
5.000,5,56.836448,257.325440
5.000,6,35.194061,56.287067
5.000,7,140.218142,61.037170
10.000,0,228.389797,250.570003
10.000,1,235.814690,63.507554
10.000,2,249.383213,169.128190
10.000,3,35.063887,155.798322
10.000,4,123.513381,170.349076
10.000,5,61.939979,262.821253
10.000,6,33.998599,50.028230
10.000,7,144.418901,60.674505
15.000,0,221.044141,252.083722
15.000,1,238.038058,70.670419
15.000,2,251.800323,176.228020
15.000,3,42.261657,157.905952
15.000,4,131.013376,170.340494
15.000,5,60.224725,264.094215
15.000,6,36.294197,54.514631
15.000,7,149.269385,54.954120
20.000,0,213.670788,250.711257
20.000,1,237.725675,63.176928
20.000,2,255.878070,182.522619
20.000,3,48.715187,161.727201
20.000,4,137.094350,165.950532
20.000,5,60.658350,266.205917
20.000,6,34.146716,61.700612
20.000,7,142.135080,52.640747
25.000,0,221.124969,249.883498
25.000,1,238.374898,56.952354
25.000,2,253.548375,175.393628
25.000,3,55.890241,159.543488
25.000,4,130.189774,168.879156
25.000,5,59.447810,258.804255
25.000,6,33.564500,69.177980
25.000,7,135.867457,48.521658
30.000,0,228.586225,249.122148
30.000,1,233.523006,56.769947
30.000,2,250.033734,168.768124
30.000,3,48.491939,158.312587
30.000,4,133.543528,175.587533
30.000,5,60.620287,265.167219
30.000,6,33.227612,61.685550
30.000,7,136.581932,55.987549
35.000,0,232.897007,252.375321
35.000,1,238.113903,62.700685
35.000,2,252.434253,173.840714
35.000,3,54.094446,156.769992
35.000,4,140.789427,173.651827
35.000,5,66.115394,260.645516
35.000,6,35.608011,54.573328
35.000,7,143.667674,53.529449
40.000,0,236.071238,245.580157
40.000,1,244.257653,67.002352
40.000,2,245.953848,177.616206
40.000,3,56.048391,157.543979
40.000,4,145.918951,168.180266
40.000,5,58.772746,262.173756
40.000,6,35.133785,51.853916
40.000,7,145.660232,46.298978
45.000,0,232.269905,252.045438
45.000,1,237.081733,64.821487
45.000,2,249.844368,171.204198
45.000,3,50.150950,162.177572
45.000,4,147.511207,174.364431
45.000,5,62.566869,264.338819
45.000,6,35.981017,51.752731
45.000,7,141.993995,52.841814
50.000,0,236.018508,245.549441
50.000,1,238.685147,72.148087
50.000,2,244.392034,176.354155
50.000,3,43.099612,159.622451
50.000,4,141.449772,169.947531
50.000,5,58.841481,260.474239
50.000,6,41.124492,50.932885
50.000,7,149.434090,51.895779
55.000,0,228.976616,248.130478
55.000,1,231.760388,69.267512
55.000,2,249.857228,181.490463
55.000,3,48.878299,154.841575
55.000,4,148.440839,167.231840
55.000,5,64.159335,265.762946
55.000,6,47.634223,47.208183
55.000,7,144.823539,57.811252
60.000,0,233.349800,242.037428
60.000,1,239.260309,69.301804
60.000,2,244.046419,176.748681
60.000,3,55.334806,158.657794
60.000,4,148.661304,174.728599
60.000,5,58.850408,261.268926
60.000,6,40.397358,49.177391
60.000,7,139.679832,52.353022
65.000,0,226.532565,245.163976
65.000,1,238.791591,61.851875
65.000,2,249.829130,181.524689
65.000,3,57.020734,162.031593
65.000,4,152.272435,168.155189
65.000,5,61.083565,260.312842
65.000,6,33.247086,51.440932
65.000,7,134.357952,47.068366
70.000,0,232.400105,249.835375
70.000,1,235.700228,65.034019
70.000,2,250.632711,174.067863
70.000,3,53.661592,158.685936
70.000,4,152.788409,175.637419
70.000,5,61.962167,261.626426
70.000,6,34.590370,49.110119
70.000,7,137.777555,53.743418
75.000,0,236.507278,243.559936
75.000,1,236.910128,72.435786
75.000,2,245.192414,179.230534
75.000,3,46.162623,158.810282
75.000,4,145.937661,172.585002
75.000,5,60.384979,261.372949
75.000,6,41.181101,51.196195
75.000,7,144.668135,50.782014
80.000,0,233.931210,250.603648
80.000,1,236.368635,67.054511
80.000,2,250.964282,174.441427
80.000,3,52.724255,157.699344
80.000,4,152.064632,176.910534
80.000,5,61.106090,260.474198
80.000,6,34.359191,49.520360
80.000,7,138.758978,55.400658
85.000,0,226.502129,251.632607
85.000,1,239.482939,73.877349
85.000,2,250.913121,181.941252
85.000,3,51.353098,156.187983
85.000,4,151.015131,169.484327
85.000,5,59.268766,258.357877
85.000,6,41.645359,51.298491
85.000,7,145.415514,51.945150
90.000,0,228.967164,251.646458
90.000,1,237.722179,66.586963
90.000,2,254.406919,175.304734
90.000,3,55.286195,155.770009
90.000,4,157.046594,173.942067
90.000,5,60.228236,258.677974
90.000,6,34.371572,49.470374
90.000,7,138.467042,54.768045
95.000,0,227.661643,250.093152
95.000,1,240.331289,61.624665
95.000,2,252.346441,171.180963
95.000,3,53.435701,155.567153
95.000,4,151.175756,178.609322
95.000,5,60.333226,259.282607
95.000,6,39.506863,51.466822
95.000,7,145.086637,58.293800
100.000,0,220.162224,250.186581
100.000,1,243.248333,54.715189
100.000,2,254.240593,178.437835
100.000,3,60.886728,156.422845
100.000,4,156.476622,173.303587
100.000,5,57.826733,252.213838
100.000,6,36.955605,58.519558
100.000,7,139.807950,52.965999
105.000,0,212.663008,250.295023
105.000,1,244.521878,62.106271
105.000,2,254.203872,185.937745
105.000,3,53.536063,157.912050
