episode,reward,local_hit_rate,neighbor_fetch_rate,cloud_fetch_rate
1,19868.00000000,0.13496970,0.07309091,0.79193939
2,19409.00000000,0.12606061,0.09481818,0.77912121
3,19802.00000000,0.12990909,0.09133333,0.77875758
4,19365.00000000,0.12609091,0.09336364,0.78054545
5,19182.00000000,0.12596970,0.08830303,0.78572727
6,18976.00000000,0.12190909,0.09830303,0.77978788
7,18326.00000000,0.12360606,0.07181818,0.80457576
8,20245.00000000,0.13587879,0.08087879,0.78324242
9,20042.00000000,0.13157576,0.09193939,0.77648485
10,19025.00000000,0.12412121,0.09093939,0.78493939
11,18951.00000000,0.12306061,0.09293939,0.78400000
12,19883.00000000,0.13069697,0.09063636,0.77866667
13,19518.00000000,0.12975758,0.08333333,0.78690909
14,20256.00000000,0.13512121,0.08424242,0.78063636
15,19254.00000000,0.12575758,0.09133333,0.78290909
16,20703.00000000,0.13648485,0.09233333,0.77118182
17,19297.00000000,0.12509091,0.09530303,0.77960606
18,19353.00000000,0.12951515,0.07930303,0.79118182
19,19187.00000000,0.12666667,0.08566667,0.78766667
20,19021.00000000,0.12315152,0.09469697,0.78215152
21,20393.00000000,0.13696970,0.08100000,0.78203030
22,18452.00000000,0.11875758,0.09503030,0.78621212
23,19180.00000000,0.12627273,0.08703030,0.78669697
24,19327.00000000,0.12742424,0.08687879,0.78569697
25,19247.00000000,0.12600000,0.09015152,0.78384848
26,19911.00000000,0.13024242,0.09330303,0.77645455
27,18815.00000000,0.12330303,0.08784848,0.78884848
28,18328.00000000,0.11896970,0.09042424,0.79060606
29,20111.00000000,0.13245455,0.09051515,0.77703030
30,19312.00000000,0.12851515,0.08206061,0.78942424
31,18892.00000000,0.12503030,0.08327273,0.79169697
32,19082.00000000,0.12584848,0.08575758,0.78839394
33,19084.00000000,0.12542424,0.08751515,0.78706061
34,20390.00000000,0.13730303,0.07957576,0.78312121
35,19655.00000000,0.13015152,0.08590909,0.78393939
36,19191.00000000,0.12348485,0.09851515,0.77800000
37,18928.00000000,0.12230303,0.09527273,0.78242424
38,19945.00000000,0.13072727,0.09239394,0.77687879
39,19661.00000000,0.12724242,0.09772727,0.77503030
40,19246.00000000,0.12681818,0.08684848,0.78633333
41,19104.00000000,0.12766667,0.07915152,0.79318182
42,18708.00000000,0.12312121,0.08533333,0.79154545
43,19692.00000000,0.12896970,0.09175758,0.77927273
44,19674.00000000,0.12909091,0.09072727,0.78018182
45,19031.00000000,0.12403030,0.09148485,0.78448485
46,18046.00000000,0.11878788,0.08260606,0.79860606
47,18888.00000000,0.12290909,0.09163636,0.78545455
48,19813.00000000,0.13072727,0.08839394,0.78087879
49,19829.00000000,0.13051515,0.08972727,0.77975758
50,20012.00000000,0.13112121,0.09284848,0.77603030
51,19592.00000000,0.12866667,0.08993939,0.78139394
52,19284.00000000,0.12787879,0.08375758,0.78836364
53,19354.00000000,0.12772727,0.08648485,0.78578788
54,19243.00000000,0.12833333,0.08069697,0.79096970
55,19325.00000000,0.12845455,0.08269697,0.78884848
56,19759.00000000,0.12960606,0.09124242,0.77915152
57,18917.00000000,0.12384848,0.08875758,0.78739394
58,20156.00000000,0.13139394,0.09612121,0.77248485
59,19369.00000000,0.12593939,0.09409091,0.77996970
60,19943.00000000,0.13127273,0.09015152,0.77857576
61,19090.00000000,0.12754545,0.07921212,0.79324242
62,20039.00000000,0.13193939,0.09039394,0.77766667
63,18935.00000000,0.12466667,0.08603030,0.78930303
64,20566.00000000,0.13575758,0.09109091,0.77315152
65,19540.00000000,0.13015152,0.08242424,0.78742424
66,20722.00000000,0.13533333,0.09751515,0.76715152
67,19833.00000000,0.13039394,0.09033333,0.77927273
68,18178.00000000,0.11854545,0.08757576,0.79387879
69,18640.00000000,0.12463636,0.07721212,0.79815152
70,18274.00000000,0.11815152,0.09206061,0.78978788
71,18558.00000000,0.12312121,0.08078788,0.79609091
72,20661.00000000,0.13633333,0.09166667,0.77200000
73,19360.00000000,0.12590909,0.09393939,0.78015152
74,19958.00000000,0.12900000,0.09969697,0.77130303
75,19579.00000000,0.13072727,0.08130303,0.78796970
76,19553.00000000,0.12860606,0.08900000,0.78239394
77,19045.00000000,0.12412121,0.09154545,0.78433333
78,18951.00000000,0.12678788,0.07803030,0.79518182
79,17828.00000000,0.11769697,0.08036364,0.80193939
80,18488.00000000,0.12112121,0.08666667,0.79221212
