episode,reward,local_hit_rate,neighbor_fetch_rate,cloud_fetch_rate
1,10931.90000000,0.12528409,0.12914773,0.74556818
2,11010.50000000,0.12511364,0.13443182,0.74045455
3,10965.10000000,0.12642045,0.12630682,0.74727273
4,10666.20000000,0.12170455,0.12846591,0.74982955
5,10802.50000000,0.12232955,0.13352273,0.74414773
6,10369.10000000,0.11920455,0.12153409,0.75926136
7,10387.60000000,0.11903409,0.12323864,0.75772727
8,10904.30000000,0.12784091,0.11715909,0.75500000
9,11256.40000000,0.12897727,0.13284091,0.73818182
10,11215.00000000,0.12659091,0.13982955,0.73357955
11,10158.60000000,0.11562500,0.12380682,0.76056818
12,10712.80000000,0.12119318,0.13295455,0.74585227
13,10720.80000000,0.12232955,0.12903409,0.74863636
14,10983.70000000,0.12409091,0.13664773,0.73926136
15,11128.80000000,0.12539773,0.13994318,0.73465909
16,11629.60000000,0.13284091,0.13846591,0.72869318
17,10860.30000000,0.12272727,0.13517045,0.74210227
18,10295.50000000,0.11801136,0.12187500,0.76011364
19,10106.20000000,0.11460227,0.12482955,0.76056818
20,10083.50000000,0.11227273,0.13272727,0.75500000
21,11002.10000000,0.12715909,0.12551136,0.74732955
22,10426.60000000,0.11784091,0.13022727,0.75193182
23,10639.60000000,0.12085227,0.12977273,0.74937500
24,10636.10000000,0.12267045,0.12261364,0.75471591
25,10491.10000000,0.11909091,0.12857955,0.75232955
26,10852.50000000,0.12420455,0.12886364,0.74693182
27,10957.80000000,0.12670455,0.12465909,0.74863636
28,10323.20000000,0.11579545,0.13244318,0.75176136
29,11062.00000000,0.12681818,0.13034091,0.74284091
30,10527.50000000,0.11738636,0.13795455,0.74465909
