episode,reward,local_hit_rate,neighbor_fetch_rate,cloud_fetch_rate
1,10343.00000000,0.11795455,0.12511364,0.75693182
2,10646.00000000,0.12073864,0.13125000,0.74801136
3,10441.30000000,0.11926136,0.12528409,0.75545455
4,10197.00000000,0.11517045,0.12801136,0.75681818
5,10677.50000000,0.12062500,0.13318182,0.74619318
6,10213.70000000,0.11556818,0.12744318,0.75698864
7,10070.00000000,0.11471591,0.12244318,0.76284091
8,10635.30000000,0.12318182,0.12062500,0.75619318
9,11105.70000000,0.12636364,0.13494318,0.73869318
10,10932.30000000,0.12261364,0.13988636,0.73750000
11,9651.80000000,0.10937500,0.12028409,0.77034091
12,10161.40000000,0.11443182,0.12897727,0.75659091
13,9976.80000000,0.11215909,0.12755682,0.76028409
14,10713.00000000,0.12011364,0.13738636,0.74250000
15,10563.50000000,0.11812500,0.13704545,0.74482955
16,11038.10000000,0.12590909,0.13272727,0.74136364
17,10176.10000000,0.11403409,0.13130682,0.75465909
18,10144.00000000,0.11670455,0.11857955,0.76471591
19,9905.50000000,0.11045455,0.13005682,0.75948864
20,10018.20000000,0.11130682,0.13306818,0.75562500
21,10538.50000000,0.12136364,0.12244318,0.75619318
22,10026.70000000,0.11210227,0.13062500,0.75727273
23,9990.00000000,0.11221591,0.12778409,0.76000000
24,9962.20000000,0.11255682,0.12482955,0.76261364
25,10198.90000000,0.11454545,0.13051136,0.75494318
26,10621.90000000,0.11948864,0.13471591,0.74579545
27,10650.10000000,0.12346591,0.12056818,0.75596591
28,10066.70000000,0.11272727,0.13017045,0.75710227
29,10930.90000000,0.12448864,0.13227273,0.74323864
30,10335.80000000,0.11539773,0.13517045,0.74943182
31,9953.90000000,0.11159091,0.12846591,0.75994318
32,10211.70000000,0.11761364,0.11886364,0.76352273
33,10720.80000000,0.11988636,0.13863636,0.74147727
34,10945.60000000,0.12556818,0.12880682,0.74562500
35,10823.70000000,0.12056818,0.14193182,0.73750000
36,10527.30000000,0.11857955,0.13306818,0.74835227
37,9683.60000000,0.10977273,0.12045455,0.76977273
38,10298.10000000,0.11647727,0.12818182,0.75534091
39,10390.50000000,0.11460227,0.14113636,0.74426136
40,10352.50000000,0.11801136,0.12534091,0.75664773
