episode,reward,local_hit_rate,neighbor_fetch_rate,cloud_fetch_rate
1,10931.90000000,0.12528409,0.12914773,0.74556818
2,11012.60000000,0.12517045,0.13431818,0.74051136
3,10868.80000000,0.12517045,0.12579545,0.74903409
4,10707.10000000,0.12261364,0.12715909,0.75022727
5,10789.30000000,0.12238636,0.13250000,0.74511364
6,10479.00000000,0.12017045,0.12392045,0.75590909
7,10309.40000000,0.11784091,0.12357955,0.75857955
8,10938.00000000,0.12835227,0.11693182,0.75471591
9,11362.10000000,0.12914773,0.13801136,0.73284091
10,11170.70000000,0.12551136,0.14159091,0.73289773
11,10268.30000000,0.11636364,0.12710227,0.75653409
12,10675.70000000,0.12045455,0.13369318,0.74585227
13,10699.60000000,0.12198864,0.12914773,0.74886364
14,10982.30000000,0.12443182,0.13505682,0.74051136
15,10969.20000000,0.12272727,0.14147727,0.73579545
16,11500.60000000,0.13159091,0.13602273,0.73238636
17,10975.60000000,0.12454545,0.13437500,0.74107955
18,10553.40000000,0.12210227,0.11994318,0.75795455
19,10268.60000000,0.11562500,0.12982955,0.75454545
20,10040.30000000,0.11221591,0.13039773,0.75738636
