episode,reward,local_hit_rate,neighbor_fetch_rate,cloud_fetch_rate
1,8180.30000000,0.09375000,0.10056818,0.80568182
2,8150.70000000,0.08829545,0.12073864,0.79096591
3,8405.10000000,0.09187500,0.12085227,0.78727273
4,7494.90000000,0.08164773,0.11005682,0.80829545
5,7839.90000000,0.08761364,0.10579545,0.80659091
6,7599.80000000,0.08346591,0.10875000,0.80778409
7,7478.40000000,0.08352273,0.10164773,0.81482955
8,8094.10000000,0.09062500,0.10818182,0.80119318
9,7953.70000000,0.08880682,0.10755682,0.80363636
10,8157.80000000,0.09204545,0.10613636,0.80181818
11,8000.90000000,0.08914773,0.10875000,0.80210227
12,7831.70000000,0.08670455,0.10897727,0.80431818
13,7502.20000000,0.08261364,0.10659091,0.81079545
14,8809.00000000,0.09806818,0.11903409,0.78289773
15,7675.40000000,0.08386364,0.11147727,0.80465909
16,7711.60000000,0.08505682,0.10875000,0.80619318
17,8285.30000000,0.09448864,0.10363636,0.80187500
18,8547.00000000,0.09528409,0.11522727,0.78948864
19,7635.90000000,0.08500000,0.10465909,0.81034091
20,8127.20000000,0.08914773,0.11602273,0.79482955
21,8224.30000000,0.09215909,0.10943182,0.79840909
22,8000.30000000,0.08767045,0.11471591,0.79761364
23,7824.50000000,0.08761364,0.10494318,0.80744318
24,8280.30000000,0.09232955,0.11198864,0.79568182
25,7413.60000000,0.08187500,0.10448864,0.81363636
26,7809.60000000,0.08647727,0.10863636,0.80488636
27,8779.10000000,0.09732955,0.12028409,0.78238636
28,7933.20000000,0.08801136,0.10954545,0.80244318
29,8498.10000000,0.09539773,0.11204545,0.79255682
30,7636.10000000,0.08369318,0.10988636,0.80642045
