round,train_loss,val_loss
1,7.44071362,7.43384631
2,7.43259600,7.42995945
3,7.42848251,7.42628899
4,7.42654252,7.42236284
5,7.42063870,7.41773819
6,7.41296403,7.41079237
7,7.40417946,7.40334097
8,7.39935434,7.39331643
9,7.39278693,7.37946590
10,7.37600181,7.36390073
11,7.36929985,7.34867753
12,7.35001893,7.32706023
13,7.31854941,7.30934172
14,7.30923255,7.28871659
15,7.27151352,7.26969812
16,7.25177046,7.25109621
17,7.26698015,7.23945648
18,7.24424371,7.21763006
19,7.21181220,7.20021075
20,7.20579599,7.18618424
21,7.20661536,7.16490591
22,7.21675852,7.14954583
23,7.14792307,7.13333169
24,7.13167478,7.12135352
25,7.16366556,7.10843428
