episode,reward,local_hit_rate,neighbor_fetch_rate,cloud_fetch_rate
1,18896.00000000,0.13139394,0.07696970,0.79163636
2,18124.80000000,0.12324242,0.08851515,0.78824242
3,18895.20000000,0.12884848,0.08966667,0.78148485
4,19400.00000000,0.13057576,0.10015152,0.76927273
5,18939.20000000,0.12872727,0.09193939,0.77933333
6,18474.40000000,0.12575758,0.08918182,0.78506061
7,17689.60000000,0.12130303,0.08172727,0.79696970
8,19698.40000000,0.13718182,0.07842424,0.78439394
9,19212.00000000,0.13066667,0.09257576,0.77675758
10,18251.20000000,0.12124242,0.10330303,0.77545455
11,17903.20000000,0.12215152,0.08557576,0.79227273
12,19220.00000000,0.13103030,0.09106061,0.77790909
13,18307.20000000,0.12524242,0.08542424,0.78933333
14,19156.80000000,0.13260606,0.08078788,0.78660606
15,18963.20000000,0.12872727,0.09284848,0.77842424
16,19150.40000000,0.12918182,0.09766667,0.77315152
17,18820.00000000,0.12784848,0.09181818,0.78033333
18,18324.00000000,0.12621212,0.08121212,0.79257576
19,17904.80000000,0.12284848,0.08215152,0.79500000
20,18327.20000000,0.12560606,0.08436364,0.79003030
21,19695.20000000,0.13700000,0.07921212,0.78378788
22,18558.40000000,0.12648485,0.08872727,0.78478788
23,18558.40000000,0.12727273,0.08478788,0.78793939
24,18125.60000000,0.12369697,0.08627273,0.79003030
25,18746.40000000,0.12839394,0.08630303,0.78530303
26,18969.60000000,0.12963636,0.08854545,0.78181818
27,18444.80000000,0.12512121,0.09124242,0.78363636
28,17637.60000000,0.12006061,0.08596970,0.79396970
29,18954.40000000,0.12915152,0.09039394,0.78045455
30,17838.40000000,0.12142424,0.08675758,0.79181818
31,18280.00000000,0.12451515,0.08803030,0.78745455
32,18402.40000000,0.12751515,0.07766667,0.79481818
33,18610.40000000,0.12569697,0.09463636,0.77966667
34,19944.00000000,0.13809091,0.08318182,0.77872727
35,18381.60000000,0.12518182,0.08854545,0.78627273
36,18539.20000000,0.12618182,0.08951515,0.78430303
37,17956.80000000,0.12190909,0.08881818,0.78927273
38,18824.00000000,0.12851515,0.08863636,0.78284848
39,18286.40000000,0.12321212,0.09478788,0.78200000
40,18184.80000000,0.12469697,0.08351515,0.79178788
41,18778.40000000,0.12990909,0.07993939,0.79015152
42,17989.60000000,0.12245455,0.08733333,0.79021212
43,19289.60000000,0.13181818,0.08975758,0.77842424
44,19065.60000000,0.13130303,0.08384848,0.78484848
45,18764.00000000,0.12796970,0.08909091,0.78293939
46,18268.80000000,0.12563636,0.08200000,0.79236364
47,18344.00000000,0.12563636,0.08484848,0.78951515
48,19491.20000000,0.13342424,0.08936364,0.77721212
49,18493.60000000,0.12621212,0.08763636,0.78615152
50,19876.80000000,0.13436364,0.09927273,0.76636364
51,18628.80000000,0.12715152,0.08806061,0.78478788
52,19181.60000000,0.12972727,0.09612121,0.77415152
53,18738.40000000,0.12878788,0.08403030,0.78718182
54,18751.20000000,0.12806061,0.08815152,0.78378788
55,18776.80000000,0.12900000,0.08442424,0.78657576
56,19251.20000000,0.13193939,0.08769697,0.78036364
57,18126.40000000,0.12324242,0.08857576,0.78818182
58,19339.20000000,0.13039394,0.09875758,0.77084848
59,19172.00000000,0.13209091,0.08393939,0.78396970
60,18244.80000000,0.12393939,0.08957576,0.78648485
