episode,step,reward,local_hit_rate,neighbor_fetch_rate,cloud_fetch_rate,paper_hit_rate,cache_overlap,cache_diversity
1.0,0.0,-11.099999999999998,0.05,0.0,0.95,0.05,1.0,0.0
1.0,1.0,4.0,0.07142857142857142,0.0,0.9285714285714286,0.07142857142857142,1.0,0.0
1.0,2.0,4.0,0.05,0.0,0.95,0.05,1.0,0.0
1.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1.0,4.0,4.0,0.05555555555555555,0.0,0.9444444444444444,0.05555555555555555,1.0,0.0
1.0,5.0,4.0,0.05263157894736842,0.0,0.9473684210526315,0.05263157894736842,1.0,0.0
1.0,6.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1.0,7.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1.0,8.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1.0,9.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1.0,10.0,4.0,0.16666666666666666,0.0,0.8333333333333334,0.16666666666666666,1.0,0.0
1.0,11.0,4.0,0.14285714285714285,0.0,0.8571428571428571,0.14285714285714285,1.0,0.0
1.0,12.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1.0,13.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1.0,14.0,4.0,0.1111111111111111,0.0,0.8888888888888888,0.1111111111111111,1.0,0.0
1.0,15.0,4.0,0.05263157894736842,0.0,0.9473684210526315,0.05263157894736842,1.0,0.0
1.0,16.0,16.0,0.26666666666666666,0.0,0.7333333333333333,0.26666666666666666,1.0,0.0
1.0,17.0,8.0,0.1,0.0,0.9,0.1,1.0,0.0
1.0,18.0,16.0,0.16,0.0,0.84,0.16,1.0,0.0
1.0,19.0,8.0,0.09523809523809523,0.0,0.9047619047619048,0.09523809523809523,1.0,0.0
1.0,20.0,4.0,0.043478260869565216,0.0,0.9565217391304348,0.043478260869565216,1.0,0.0
1.0,21.0,4.0,0.029411764705882353,0.0,0.9705882352941176,0.029411764705882353,1.0,0.0
1.0,22.0,4.0,0.09090909090909091,0.0,0.9090909090909091,0.09090909090909091,1.0,0.0
1.0,23.0,12.0,0.13043478260869565,0.0,0.8695652173913043,0.13043478260869565,1.0,0.0
1.0,24.0,4.0,0.04,0.0,0.96,0.04,1.0,0.0
1.0,25.0,8.0,0.10526315789473684,0.0,0.8947368421052632,0.10526315789473684,1.0,0.0
1.0,26.0,8.0,0.1,0.0,0.9,0.1,1.0,0.0
1.0,27.0,8.0,0.09090909090909091,0.0,0.9090909090909091,0.09090909090909091,1.0,0.0
1.0,28.0,4.0,0.045454545454545456,0.0,0.9545454545454546,0.045454545454545456,1.0,0.0
1.0,29.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1.0,30.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1.0,31.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1.0,32.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1.0,33.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1.0,34.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1.0,35.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1.0,36.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1.0,37.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1.0,38.0,8.0,0.2,0.0,0.8,0.2,1.0,0.0
1.0,39.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1.0,40.0,4.0,0.1,0.0,0.9,0.1,1.0,0.0
1.0,41.0,16.0,0.2222222222222222,0.0,0.7777777777777778,0.2222222222222222,1.0,0.0
1.0,42.0,4.0,0.0625,0.0,0.9375,0.0625,1.0,0.0
1.0,43.0,8.0,0.13333333333333333,0.0,0.8666666666666667,0.13333333333333333,1.0,0.0
1.0,44.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1.0,45.0,4.0,0.034482758620689655,0.0,0.9655172413793104,0.034482758620689655,1.0,0.0
1.0,46.0,4.0,0.05555555555555555,0.0,0.9444444444444444,0.05555555555555555,1.0,0.0
1.0,47.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1.0,48.0,4.0,0.045454545454545456,0.0,0.9545454545454546,0.045454545454545456,1.0,0.0
1.0,49.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
