episode,step,burst_local_hit,burst_edge_hit
1.0,0.0,0.0,0.0
1.0,1.0,0.0,0.0
1.0,2.0,0.0,0.0
1.0,3.0,0.0,0.0
1.0,4.0,0.0,0.0
1.0,5.0,0.0,0.0
1.0,6.0,0.0,0.0
1.0,7.0,0.0,0.0
1.0,8.0,0.0,0.0
1.0,9.0,0.0,0.0
1.0,10.0,0.0,0.0
1.0,11.0,0.0,0.0
1.0,12.0,0.0,0.0
1.0,13.0,0.0,0.0
1.0,14.0,0.0,0.0
1.0,15.0,0.0,0.0
1.0,16.0,0.21511627906976744,0.21511627906976744
1.0,17.0,0.22413793103448276,0.22413793103448276
1.0,18.0,0.21084337349397592,0.21084337349397592
1.0,19.0,0.22839506172839505,0.22839506172839505
1.0,20.0,0.23699421965317918,0.23699421965317918
1.0,21.0,0.23333333333333334,0.23333333333333334
1.0,22.0,0.25316455696202533,0.25316455696202533
1.0,23.0,0.23563218390804597,0.23563218390804597
1.0,24.0,0.0,0.0
1.0,25.0,0.0,0.0
1.0,26.0,0.0,0.0
1.0,27.0,0.0,0.0
1.0,28.0,0.0,0.0
1.0,29.0,0.0,0.0
1.0,30.0,0.0,0.0
1.0,31.0,0.0,0.0
1.0,32.0,0.08917197452229299,0.08917197452229299
1.0,33.0,0.0,0.0
1.0,34.0,0.0,0.0
1.0,35.0,0.0,0.0
1.0,36.0,0.0,0.0
1.0,37.0,0.0,0.0
1.0,38.0,0.0,0.0
1.0,39.0,0.0,0.0
1.0,40.0,0.0,0.0
1.0,41.0,0.0,0.0
1.0,42.0,0.0,0.0
1.0,43.0,0.0,0.0
1.0,44.0,0.0,0.0
1.0,45.0,0.0,0.0
1.0,46.0,0.0,0.0
1.0,47.0,0.0,0.0
1.0,48.0,0.0,0.0
1.0,49.0,0.0,0.0
