n_sbs,model,reward_mean,paper_hit_mean,local_hit_mean,neighbor_mean,cloud_mean
8.0,Random,-772.0999999999997,0.02331453634085213,0.005396825396825396,0.01791771094402673,0.9766854636591478
8.0,BSG-like,97.3,0.03512283100730402,0.03512283100730402,0.0,0.9648771689926956
8.0,C-epsilon-greedy,-140.60000000000002,0.08417999817796443,0.04392420538312499,0.04025579279483944,0.9158200018220353
8.0,TemporalGraph,190.09999999999997,0.1436953100552919,0.04891905993168041,0.0947762501236115,0.856304689944708
12.0,Random,-1155.6,0.029560974113605695,0.00866374269005848,0.02089723142354721,0.9704390258863944
12.0,BSG-like,93.7,0.029021509994339882,0.029021509994339882,0.0,0.97097849000566
12.0,C-epsilon-greedy,-171.4,0.10292955871250278,0.06331831655679601,0.039611242155706765,0.897070441287497
12.0,TemporalGraph,155.40000000000006,0.14918379855438677,0.04435835798188737,0.10482544057249939,0.8508162014456131
16.0,Random,-1558.3000000000002,0.02921032562209033,0.003269230769230769,0.02594109485285956,0.9707896743779096
16.0,BSG-like,69.8,0.03240333287358459,0.03240333287358459,0.0,0.9675966671264155
16.0,C-epsilon-greedy,-261.20000000000005,0.08998235225611047,0.04210261512765214,0.04787973712845834,0.9100176477438893
16.0,TemporalGraph,232.4,0.17161762834115774,0.06319180017322432,0.10842582816793342,0.8283823716588421
