episode,step,burst_local_hit,burst_edge_hit
1.0,0.0,0.0,0.0
1.0,1.0,0.5,0.5
1.0,2.0,0.2,0.2
1.0,3.0,0.0,0.0
1.0,4.0,0.6666666666666666,0.6666666666666666
1.0,5.0,0.0,0.0
1.0,6.0,1.0,1.0
1.0,7.0,1.0,1.0
1.0,8.0,0.29120879120879123,0.38461538461538464
1.0,9.0,0.6582278481012658,0.6582278481012658
1.0,10.0,0.8909090909090909,0.8909090909090909
1.0,11.0,0.8165680473372781,0.8165680473372781
1.0,12.0,0.6787878787878788,0.6787878787878788
1.0,13.0,0.0,0.0
1.0,14.0,1.0,1.0
1.0,15.0,0.0,0.0
1.0,16.0,0.0,0.0
1.0,17.0,0.0,0.0
1.0,18.0,0.0,1.0
1.0,19.0,0.0,0.0
