epoch,loss,reward,local_hit_rate,paper_hit_rate
1,2.78796248,4.87750000,0.07476542,0.13862248
2,2.68052153,4.90687500,0.07268864,0.14301895
3,2.67323659,4.63362500,0.06622957,0.14386543
4,2.66013599,4.44175000,0.06128095,0.13866692
5,2.65899625,4.40525000,0.06300811,0.13557877
6,2.65850293,4.55375000,0.06725437,0.14290118
7,2.65938938,4.54350000,0.06803048,0.14130826
8,2.65900972,4.43812500,0.06239383,0.13650314
9,2.65880428,4.69200000,0.06696072,0.14254276
10,2.65769945,4.39337500,0.06336650,0.13961638
11,2.65518449,4.60412500,0.06755527,0.14427631
12,2.65187737,4.31225000,0.06344150,0.13440054
13,2.65261622,4.66200000,0.07179175,0.14409351
14,2.65414609,4.50437500,0.06652401,0.14294054
15,2.65740884,4.37287500,0.06827577,0.13842780
16,2.65838672,4.61900000,0.06898058,0.14439956
