epoch,loss,reward,local_hit_rate,paper_hit_rate
1,0.20377507,4.10533333,0.05453974,0.12424041
2,0.11780515,4.15566667,0.05855538,0.13121234
3,0.09563078,4.11250000,0.05801188,0.12409338
4,0.08194039,4.63083333,0.06489614,0.13674931
5,0.07719097,4.18416667,0.05687458,0.13311125
6,0.07289101,3.92050000,0.05356804,0.12848180
7,0.06834526,3.93950000,0.05667987,0.12462528
8,0.06549542,4.19516667,0.05850007,0.12900587
9,0.06729484,4.08750000,0.05959988,0.13153583
10,0.06890538,4.00083333,0.05944863,0.12923993
