epoch,loss,reward,local_hit_rate,paper_hit_rate
1,2.81670311,9.32156250,0.05943908,0.15984069
2,2.75939829,8.98572917,0.05433568,0.16030833
3,2.75664255,8.99677083,0.05451255,0.15773740
4,2.74931654,9.18354167,0.05583439,0.16362323
5,2.74907035,9.17625000,0.05622446,0.16037919
6,2.74699678,9.15239583,0.05546498,0.16073683
7,2.74606551,8.93718750,0.05450711,0.15952655
8,2.74512600,8.97885417,0.05392742,0.15390915
9,2.74590998,8.72729167,0.05207412,0.15699951
10,2.74703158,9.44666667,0.05664128,0.16033747
11,2.74836140,8.65000000,0.05396182,0.15832043
12,2.74736381,9.23281250,0.05621071,0.16358413
13,2.74475687,8.92895833,0.05290375,0.16272559
14,2.74551722,9.13906250,0.05648398,0.16005088
15,2.74747828,8.41781250,0.05102934,0.15326301
16,2.74724345,8.93770833,0.05489051,0.15744320
17,2.74982829,9.02718750,0.05468254,0.16085425
18,2.74717014,8.60937500,0.05381425,0.15112398
