epoch,loss,reward,local_hit_rate,paper_hit_rate
1,-1.98431676,-211.95000000,0.04364079,0.13274885
2,-2.09719297,-202.25000000,0.04301870,0.13302728
3,-0.43212546,-275.41666667,0.03902341,0.13059911
4,-0.94575643,-196.71666667,0.04207112,0.13048920
5,-0.73784687,-124.08333333,0.04755155,0.13357074
6,-1.96459582,-85.30000000,0.05133970,0.13360072
7,0.37399056,-48.30000000,0.05335579,0.14250612
8,-0.58645374,76.50000000,0.06213761,0.14063433
9,-1.04383179,85.60000000,0.06604943,0.14799041
10,-0.85024885,48.18333333,0.06098667,0.14037597
11,-0.33414938,132.85000000,0.07002615,0.14133852
12,0.34889689,116.53333333,0.07063106,0.14153034
