epoch,loss,reward,local_hit_rate,paper_hit_rate
1,2.78764527,4.84325000,0.07391404,0.13947617
2,2.68032118,4.85712500,0.07224424,0.14291575
3,2.67445070,4.62650000,0.06627360,0.14338697
4,2.66340882,4.47050000,0.06181726,0.13875109
5,2.65957942,4.40900000,0.06293707,0.13562904
6,2.65911773,4.54525000,0.06667631,0.14302023
7,2.65928443,4.55100000,0.06805668,0.14183947
8,2.65715838,4.51362500,0.06316493,0.13716342
9,2.65764458,4.66037500,0.06671761,0.14116054
10,2.65766863,4.38537500,0.06332940,0.13944797
11,2.65889987,4.61475000,0.06756823,0.14491231
12,2.65542352,4.30200000,0.06332830,0.13491015
13,2.65391055,4.64250000,0.07165238,0.14385464
14,2.65487008,4.50737500,0.06684142,0.14289172
15,2.65760003,4.35925000,0.06793864,0.13815083
16,2.65761794,4.62325000,0.06914642,0.14408250
