group,scheme,cache_capacity,n_sbs,episode,reward,cost,local_hit_rate,neighbor_fetch_rate,cloud_fetch_rate,paper_style_hit_rate
fig7,Random,4,2,1,-0.40000000,600.80000000,0.00833333,0.00000000,0.99166667,0.00833333
fig7,Random,4,2,2,-2.40000000,604.80000000,0.00000000,0.00000000,1.00000000,0.00000000
fig7,C-epsilon-greedy,4,2,1,34.10000000,531.80000000,0.15000000,0.00000000,0.85000000,0.15000000
fig7,C-epsilon-greedy,4,2,2,18.55000000,562.90000000,0.08333333,0.00000000,0.91666667,0.08333333
fig7,Thompson,4,2,1,-2.40000000,604.80000000,0.00000000,0.00000000,1.00000000,0.00000000
fig7,Thompson,4,2,2,1.60000000,596.80000000,0.01666667,0.00000000,0.98333333,0.01666667
fig7,BSG,4,2,1,3.60000000,592.80000000,0.01666667,0.00000000,0.98333333,0.01666667
fig7,BSG,4,2,2,11.60000000,576.80000000,0.05000000,0.00000000,0.95000000,0.05000000
fig7,EFNRL,4,2,1,0.00000000,600.00000000,0.00000000,0.00000000,1.00000000,0.00000000
fig7,EFNRL,4,2,2,0.00000000,600.00000000,0.00000000,0.00000000,1.00000000,0.00000000
fig7,TFMADRL,4,2,1,3.80000000,592.40000000,0.01666667,0.00000000,0.98333333,0.01666667
fig7,TFMADRL,4,2,2,-0.20000000,600.40000000,0.00000000,0.00000000,1.00000000,0.00000000
fig7,CEFMR,4,2,1,-0.45000000,600.90000000,0.00000000,0.00000000,1.00000000,0.00000000
fig7,CEFMR,4,2,2,-0.45000000,600.90000000,0.00000000,0.00000000,1.00000000,0.00000000
fig7,Random,5,2,1,-2.95000000,605.90000000,0.00000000,0.00000000,1.00000000,0.00000000
fig7,Random,5,2,2,-3.00000000,606.00000000,0.00000000,0.00000000,1.00000000,0.00000000
fig7,C-epsilon-greedy,5,2,1,43.65000000,512.70000000,0.19166667,0.00000000,0.80833333,0.19166667
fig7,C-epsilon-greedy,5,2,2,24.15000000,551.70000000,0.10833333,0.00000000,0.89166667,0.10833333
fig7,Thompson,5,2,1,-3.00000000,606.00000000,0.00000000,0.00000000,1.00000000,0.00000000
fig7,Thompson,5,2,2,-1.00000000,602.00000000,0.00833333,0.00000000,0.99166667,0.00833333
fig7,BSG,5,2,1,3.50000000,593.00000000,0.01666667,0.00000000,0.98333333,0.01666667
fig7,BSG,5,2,2,15.50000000,569.00000000,0.06666667,0.00000000,0.93333333,0.06666667
fig7,EFNRL,5,2,1,0.00000000,600.00000000,0.00000000,0.00000000,1.00000000,0.00000000
fig7,EFNRL,5,2,2,0.00000000,600.00000000,0.00000000,0.00000000,1.00000000,0.00000000
fig7,TFMADRL,5,2,1,3.90000000,592.20000000,0.01666667,0.00000000,0.98333333,0.01666667
fig7,TFMADRL,5,2,2,-0.10000000,600.20000000,0.00000000,0.00000000,1.00000000,0.00000000
fig7,CEFMR,5,2,1,-0.50000000,601.00000000,0.00000000,0.00000000,1.00000000,0.00000000
fig7,CEFMR,5,2,2,-0.50000000,601.00000000,0.00000000,0.00000000,1.00000000,0.00000000
fig8,CEFMR,4,2,1,-0.45000000,600.90000000,0.00000000,0.00000000,1.00000000,0.00000000
fig8,CEFMR,4,2,2,-0.45000000,600.90000000,0.00000000,0.00000000,1.00000000,0.00000000
fig8,CEFMR,5,2,1,-0.50000000,601.00000000,0.00000000,0.00000000,1.00000000,0.00000000
fig8,CEFMR,5,2,2,-0.50000000,601.00000000,0.00000000,0.00000000,1.00000000,0.00000000
fig9,CEFMR,4,1,1,-0.70000000,600.70000000,0.00000000,0.00000000,1.00000000,0.00000000
fig9,CEFMR,4,1,2,-0.70000000,600.70000000,0.00000000,0.00000000,1.00000000,0.00000000
fig9,CEFMR,5,1,1,-0.20000000,600.20000000,0.00000000,0.00000000,1.00000000,0.00000000
fig9,CEFMR,5,1,2,-0.20000000,600.20000000,0.00000000,0.00000000,1.00000000,0.00000000
fig9,CEFMR,4,2,1,-0.45000000,600.90000000,0.00000000,0.00000000,1.00000000,0.00000000
fig9,CEFMR,4,2,2,-0.45000000,600.90000000,0.00000000,0.00000000,1.00000000,0.00000000
fig9,CEFMR,5,2,1,-0.50000000,601.00000000,0.00000000,0.00000000,1.00000000,0.00000000
fig9,CEFMR,5,2,2,-0.50000000,601.00000000,0.00000000,0.00000000,1.00000000,0.00000000
