scheme,cache_capacity,n_sbs,reward_mean,cost_mean,local_hit_mean,neighbor_fetch_mean,cloud_fetch_mean,paper_hit_mean
Random,4,2,-1.40000000,602.80000000,0.00416667,0.00000000,0.99583333,0.00416667
C-epsilon-greedy,4,2,26.32500000,547.35000000,0.11666667,0.00000000,0.88333333,0.11666667
Thompson,4,2,-0.40000000,600.80000000,0.00833333,0.00000000,0.99166667,0.00833333
BSG,4,2,7.60000000,584.80000000,0.03333333,0.00000000,0.96666667,0.03333333
EFNRL,4,2,0.00000000,600.00000000,0.00000000,0.00000000,1.00000000,0.00000000
TFMADRL,4,2,1.80000000,596.40000000,0.00833333,0.00000000,0.99166667,0.00833333
CEFMR,4,2,-0.45000000,600.90000000,0.00000000,0.00000000,1.00000000,0.00000000
Random,5,2,-2.97500000,605.95000000,0.00000000,0.00000000,1.00000000,0.00000000
C-epsilon-greedy,5,2,33.90000000,532.20000000,0.15000000,0.00000000,0.85000000,0.15000000
Thompson,5,2,-2.00000000,604.00000000,0.00416667,0.00000000,0.99583333,0.00416667
BSG,5,2,9.50000000,581.00000000,0.04166667,0.00000000,0.95833333,0.04166667
EFNRL,5,2,0.00000000,600.00000000,0.00000000,0.00000000,1.00000000,0.00000000
TFMADRL,5,2,1.90000000,596.20000000,0.00833333,0.00000000,0.99166667,0.00833333
CEFMR,5,2,-0.50000000,601.00000000,0.00000000,0.00000000,1.00000000,0.00000000
CEFMR,4,1,-0.70000000,600.70000000,0.00000000,0.00000000,1.00000000,0.00000000
CEFMR,5,1,-0.20000000,600.20000000,0.00000000,0.00000000,1.00000000,0.00000000
CEFMR,4,2,-0.45000000,600.90000000,0.00000000,0.00000000,1.00000000,0.00000000
CEFMR,5,2,-0.50000000,601.00000000,0.00000000,0.00000000,1.00000000,0.00000000
