episode,step,burst_local_hit,burst_edge_hit
1.0,0.0,0.5,1.0
1.0,1.0,0.0,1.0
1.0,2.0,0.6666666666666666,1.0
1.0,3.0,0.4,0.6
1.0,4.0,1.0,1.0
1.0,5.0,0.0,1.0
1.0,6.0,0.0,0.0
1.0,7.0,0.0,0.0
1.0,8.0,0.0,0.0
1.0,9.0,0.0,0.0
1.0,10.0,0.1761006289308176,0.660377358490566
1.0,11.0,0.1952662721893491,0.6923076923076923
1.0,12.0,0.19135802469135801,0.6790123456790124
1.0,13.0,0.2046783625730994,0.7309941520467836
1.0,14.0,0.20930232558139536,0.7209302325581395
1.0,15.0,0.17159763313609466,0.6923076923076923
1.0,16.0,0.2546583850931677,0.6832298136645962
1.0,17.0,0.41566265060240964,0.7891566265060241
1.0,18.0,0.575,1.0
1.0,19.0,0.621301775147929,1.0
1.0,20.0,0.0,1.0
1.0,21.0,0.5,1.0
1.0,22.0,0.25,1.0
1.0,23.0,0.0,0.0
1.0,24.0,0.3333333333333333,1.0
1.0,25.0,0.0,1.0
1.0,26.0,0.0,1.0
1.0,27.0,0.0,0.0
1.0,28.0,1.0,1.0
1.0,29.0,0.6666666666666666,1.0
