episode,step,burst_local_hit,burst_edge_hit
1.0,0.0,0.5,1.0
1.0,1.0,0.4,0.4
1.0,2.0,0.0,0.0
1.0,3.0,0.0,0.0
1.0,4.0,1.0,1.0
1.0,5.0,0.0,0.0
1.0,6.0,0.0,0.0
1.0,7.0,0.0,0.0
1.0,8.0,0.0,0.0
1.0,9.0,0.0,0.0
1.0,10.0,0.11242603550295859,0.28402366863905326
1.0,11.0,0.09444444444444444,0.17777777777777778
1.0,12.0,0.2694610778443114,0.2694610778443114
1.0,13.0,0.2545454545454545,0.2545454545454545
1.0,14.0,0.27058823529411763,0.27058823529411763
1.0,15.0,0.30357142857142855,0.30357142857142855
1.0,16.0,0.4166666666666667,0.5476190476190477
1.0,17.0,0.4573170731707317,0.5792682926829268
1.0,18.0,0.4625,0.56875
1.0,19.0,0.45180722891566266,0.572289156626506
1.0,20.0,0.0,0.0
1.0,21.0,0.6,0.6
1.0,22.0,0.0,0.0
1.0,23.0,0.0,1.0
1.0,24.0,0.5,1.0
1.0,25.0,0.5,0.5
1.0,26.0,1.0,1.0
1.0,27.0,0.25,0.25
1.0,28.0,0.0,0.0
1.0,29.0,0.0,0.0
