episode,step,burst_local_hit,burst_edge_hit
1.0,0.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,2.0,0.0,1.0
1.0,3.0,0.4,1.0
1.0,4.0,0.0,1.0
1.0,5.0,1.0,1.0
1.0,6.0,0.0,0.0
1.0,7.0,0.5,1.0
1.0,8.0,0.5,1.0
1.0,9.0,0.5,1.0
1.0,10.0,0.4260355029585799,1.0
1.0,11.0,0.8277777777777777,1.0
1.0,12.0,1.0,1.0
1.0,13.0,1.0,1.0
1.0,14.0,1.0,1.0
1.0,15.0,1.0,1.0
1.0,16.0,0.5059523809523809,1.0
1.0,17.0,1.0,1.0
1.0,18.0,1.0,1.0
1.0,19.0,1.0,1.0
1.0,20.0,1.0,1.0
1.0,21.0,1.0,1.0
1.0,22.0,1.0,1.0
1.0,23.0,1.0,1.0
1.0,24.0,0.6,0.8
1.0,25.0,0.3333333333333333,1.0
1.0,26.0,0.6666666666666666,0.6666666666666666
1.0,27.0,0.5,1.0
1.0,28.0,0.0,1.0
1.0,29.0,0.0,0.0
