epoch,loss,reward,local_hit_rate,paper_hit_rate
1,3.16546061,4.87225000,0.06921600,0.15274369
2,3.11685405,5.07383333,0.07223272,0.15689281
3,3.11050682,5.22833333,0.07214964,0.16043217
4,3.10640275,4.95033333,0.06571956,0.15543098
5,3.10556846,5.17491667,0.07194823,0.15715229
6,3.10543714,5.06441667,0.06901819,0.15292206
7,3.10455874,4.95233333,0.06945984,0.15821318
8,3.10491327,5.36775000,0.07541811,0.16237431
9,3.10474291,5.18883333,0.07036792,0.15374943
10,3.10493301,5.09533333,0.06937320,0.15766421
11,3.10409864,5.02866667,0.07104753,0.16176478
12,3.10371602,5.11450000,0.07019360,0.15937579
13,3.10404835,5.12108333,0.07224104,0.15882195
14,3.10386125,5.23108333,0.07174668,0.15890503
15,3.10402752,5.00775000,0.06966250,0.15787548
16,3.10363909,5.15191667,0.07299657,0.15501352
17,3.10360923,4.95041667,0.07014571,0.15562701
18,3.10354051,5.01700000,0.06967673,0.15650223
19,3.10370829,4.95400000,0.06814131,0.15159442
20,3.10307517,5.09666667,0.06955438,0.15455689
21,3.10344485,4.95083333,0.06859483,0.15019873
22,3.10353966,5.18975000,0.07337084,0.16016037
23,3.10353095,5.08050000,0.07101204,0.15366269
24,3.10383683,4.85625000,0.06634569,0.15723083
25,3.10313844,5.09691667,0.07099781,0.15485801
