epoch,loss,reward,local_hit_rate,paper_hit_rate
1,0.12739094,48.07500000,0.06598973,0.13763821
2,-0.44236159,107.42500000,0.07207694,0.14252907
3,-0.14725245,35.88750000,0.06431541,0.13426409
4,-0.26378449,53.71250000,0.06295150,0.13519027
5,0.08480956,50.92500000,0.06620778,0.14075147
6,-0.41451958,3.11250000,0.05786655,0.12831935
7,-0.00399331,2.05000000,0.05521151,0.13459964
8,0.18021686,16.11250000,0.05854571,0.13722981
9,-0.58526291,4.35000000,0.06126766,0.12719039
10,0.47378592,37.75000000,0.06230749,0.13629511
11,-0.28759584,15.88750000,0.06381191,0.13453715
12,-0.03082595,-12.27500000,0.05889924,0.13017868
13,-0.37806287,-10.80000000,0.05894219,0.12805089
14,-0.30572783,8.85000000,0.05929288,0.13718690
15,0.28126467,22.36250000,0.06026150,0.12947238
