scheme,episode,reward,local_hit_rate,neighbor_fetch_rate,cloud_fetch_rate,paper_hit_rate
Our-TemporalGraph,1,595.50000000,0.07841301,0.08763001,0.83395698,0.16604302
Our-TemporalGraph,2,597.00000000,0.07543325,0.07065634,0.85391041,0.14608959
Our-TemporalGraph,3,616.00000000,0.06588066,0.09447135,0.83964799,0.16035201
Paper2-AWFDRL-like,1,597.00000000,0.06689063,0.09285370,0.84025567,0.15974433
Paper2-AWFDRL-like,2,624.40000000,0.06790683,0.08713923,0.84495394,0.15504606
Paper2-AWFDRL-like,3,566.20000000,0.06282629,0.10045883,0.83671488,0.16328512
Paper3-MAAFDRL-like,1,183.50000000,0.07470290,0.06472254,0.86057456,0.13942544
Paper3-MAAFDRL-like,2,285.00000000,0.07709161,0.05261470,0.87029369,0.12970631
Paper3-MAAFDRL-like,3,248.40000000,0.08662484,0.06359310,0.84978206,0.15021794
Paper4-DTS-DDPG-like,1,642.40000000,0.07020913,0.07939719,0.85039369,0.14960631
Paper4-DTS-DDPG-like,2,577.60000000,0.05918781,0.08500360,0.85580859,0.14419141
Paper4-DTS-DDPG-like,3,734.20000000,0.07560291,0.08366252,0.84073456,0.15926544
