scheme,episode,reward,local_hit_rate,neighbor_fetch_rate,cloud_fetch_rate,paper_hit_rate
Our-TemporalGraph,1,621.20000000,0.08487777,0.08304772,0.83207451,0.16792549
Our-TemporalGraph,2,621.50000000,0.07525113,0.06730251,0.85744636,0.14255364
Our-TemporalGraph,3,650.10000000,0.07297108,0.08845517,0.83857375,0.16142625
Our-TemporalGraph,4,520.70000000,0.07262107,0.07813708,0.84924185,0.15075815
Our-TemporalGraph,5,677.50000000,0.07582878,0.09229110,0.83188012,0.16811988
Our-TemporalGraph,6,554.00000000,0.07030346,0.08008228,0.84961426,0.15038574
Our-TemporalGraph,7,595.90000000,0.07074426,0.07665339,0.85260235,0.14739765
Our-TemporalGraph,8,629.60000000,0.07402096,0.08395265,0.84202639,0.15797361
Our-TemporalGraph,9,639.30000000,0.06714912,0.07585456,0.85699632,0.14300368
Our-TemporalGraph,10,607.10000000,0.07033193,0.07073818,0.85059656,0.14107011
Paper2-AWFDRL-like,1,497.60000000,0.06195678,0.09104707,0.84699616,0.15300384
Paper2-AWFDRL-like,2,556.70000000,0.07305496,0.08023313,0.84671191,0.15328809
Paper2-AWFDRL-like,3,480.00000000,0.06592792,0.10075977,0.83331231,0.16668769
Paper3-MAAFDRL-like,1,240.40000000,0.07796452,0.06383038,0.85820510,0.14179490
Paper3-MAAFDRL-like,2,284.30000000,0.07995522,0.05831473,0.86173005,0.13826995
Paper3-MAAFDRL-like,3,279.90000000,0.08967960,0.06223811,0.84808228,0.15191772
Paper4-DTS-DDPG-like,1,511.20000000,0.06635291,0.07937666,0.85427043,0.14572957
Paper4-DTS-DDPG-like,2,499.60000000,0.05426435,0.09806965,0.84766599,0.15233401
Paper4-DTS-DDPG-like,3,604.60000000,0.07681129,0.06857044,0.85461827,0.14538173
