scheme,episode,reward,local_hit_rate,neighbor_fetch_rate,cloud_fetch_rate,paper_hit_rate
Our-TemporalGraph,1,654.10000000,0.08738083,0.07894798,0.83367119,0.16632881
Our-TemporalGraph,2,637.70000000,0.08189001,0.06116710,0.85694289,0.14305711
Our-TemporalGraph,3,691.80000000,0.07568069,0.08050564,0.84381368,0.15618632
Paper2-AWFDRL-like,1,588.30000000,0.06203694,0.09641650,0.84154656,0.15845344
Paper2-AWFDRL-like,2,594.60000000,0.06573639,0.08339441,0.85086921,0.14913079
Paper2-AWFDRL-like,3,542.30000000,0.06416277,0.09748601,0.83835122,0.16164878
Paper3-MAAFDRL-like,1,278.10000000,0.07605328,0.06798375,0.85596297,0.14403703
Paper3-MAAFDRL-like,2,214.30000000,0.07472039,0.05166658,0.87361303,0.12638697
Paper3-MAAFDRL-like,3,241.00000000,0.08595607,0.06474389,0.84930003,0.15069997
Paper4-DTS-DDPG-like,1,642.90000000,0.07027448,0.07990248,0.84982303,0.15017697
Paper4-DTS-DDPG-like,2,595.60000000,0.06223003,0.08196138,0.85580859,0.14419141
Paper4-DTS-DDPG-like,3,740.90000000,0.07641634,0.08335576,0.84022790,0.15977210
