epoch,loss,reward,local_hit_rate,paper_hit_rate
1,0.13720745,24.68750000,0.07209175,0.10704467
2,-0.45948682,52.68750000,0.07612159,0.10845151
3,1.99201598,45.37500000,0.08142519,0.11079086
4,0.45321841,75.70000000,0.07701788,0.10860924
5,-0.22027599,43.73750000,0.07722302,0.10811491
6,0.38828041,73.75000000,0.07847664,0.10807660
7,0.01563960,37.38750000,0.07531397,0.10517657
8,-0.13106541,79.53750000,0.08231584,0.11340534
9,0.62070929,118.81250000,0.08239613,0.11391168
10,0.17122765,116.66250000,0.08571988,0.11542010
11,0.52115277,65.43750000,0.08183210,0.11233758
12,0.79282524,77.80000000,0.07871780,0.10872760
13,0.18565322,48.26250000,0.07709354,0.11177651
14,0.53190485,49.58750000,0.07445362,0.10776194
15,-0.11375198,64.53750000,0.07393699,0.10410611
