scheme,episode,reward,local_hit_rate,neighbor_fetch_rate,cloud_fetch_rate,paper_hit_rate
Our-TemporalGraph,1,299.20000000,0.05939674,0.02235534,0.91824791,0.08175209
Our-TemporalGraph,2,323.90000000,0.05631476,0.02596804,0.91771720,0.08228280
Our-TemporalGraph,3,336.10000000,0.06721296,0.01577691,0.91701013,0.08298987
Paper2-AWFDRL-like,1,495.40000000,0.07958676,0.06544644,0.85496680,0.14503320
Paper2-AWFDRL-like,2,419.40000000,0.05720357,0.07399434,0.86880209,0.13119791
Paper2-AWFDRL-like,3,404.50000000,0.06203090,0.06947564,0.86849346,0.13150654
Paper3-MAAFDRL-like,1,513.10000000,0.09565138,0.03903522,0.86531340,0.13468660
Paper3-MAAFDRL-like,2,422.30000000,0.07872830,0.05494842,0.86632327,0.13367673
Paper3-MAAFDRL-like,3,513.40000000,0.09869288,0.03230684,0.86900028,0.13099972
Paper4-DTS-DDPG-like,1,458.80000000,0.06543136,0.06286468,0.87170396,0.12829604
Paper4-DTS-DDPG-like,2,563.50000000,0.08061960,0.06485553,0.85452487,0.14547513
Paper4-DTS-DDPG-like,3,412.30000000,0.05969743,0.07030701,0.86999556,0.13000444
