scheme,episode,reward,local_hit_rate,neighbor_fetch_rate,cloud_fetch_rate,paper_hit_rate
Our-TemporalGraph,1,550.90000000,0.12938994,0.03301856,0.83759150,0.16240850
Our-TemporalGraph,2,575.50000000,0.11738205,0.03973233,0.84288562,0.15711438
Our-TemporalGraph,3,615.20000000,0.11110727,0.04955933,0.83933341,0.16066659
Paper2-AWFDRL-like,1,497.60000000,0.06195678,0.09104707,0.84699616,0.15300384
Paper2-AWFDRL-like,2,556.70000000,0.07305496,0.08023313,0.84671191,0.15328809
Paper2-AWFDRL-like,3,480.00000000,0.06592792,0.10075977,0.83331231,0.16668769
Paper3-MAAFDRL-like,1,240.40000000,0.07796452,0.06383038,0.85820510,0.14179490
Paper3-MAAFDRL-like,2,284.30000000,0.07995522,0.05831473,0.86173005,0.13826995
Paper3-MAAFDRL-like,3,279.90000000,0.08967960,0.06223811,0.84808228,0.15191772
Paper4-DTS-DDPG-like,1,511.20000000,0.06635291,0.07937666,0.85427043,0.14572957
Paper4-DTS-DDPG-like,2,499.60000000,0.05426435,0.09806965,0.84766599,0.15233401
Paper4-DTS-DDPG-like,3,604.60000000,0.07681129,0.06857044,0.85461827,0.14538173
