scheme,episode,reward,local_hit_rate,neighbor_fetch_rate,cloud_fetch_rate,paper_hit_rate
Our-TemporalGraph,1,373.50000000,0.05432383,0.07668870,0.86898747,0.13101253
Our-TemporalGraph,2,437.20000000,0.06483093,0.06395100,0.87121806,0.12878194
Our-TemporalGraph,3,465.70000000,0.06581143,0.06298773,0.87120083,0.12879917
Our-TemporalGraph,4,450.40000000,0.07267544,0.07046315,0.85686141,0.14313859
Our-TemporalGraph,5,502.30000000,0.06963588,0.06827130,0.86209282,0.13790718
Paper2-AWFDRL-like,1,511.00000000,0.06508006,0.09090791,0.84401203,0.15598797
Paper2-AWFDRL-like,2,554.80000000,0.07363742,0.08057164,0.84579094,0.15420906
Paper2-AWFDRL-like,3,471.00000000,0.06557486,0.10475722,0.82966792,0.17033208
Paper3-MAAFDRL-like,1,581.40000000,0.08813173,0.06725426,0.84461401,0.15538599
Paper3-MAAFDRL-like,2,563.20000000,0.09186795,0.06579655,0.84233550,0.15766450
Paper3-MAAFDRL-like,3,626.80000000,0.10556641,0.06531148,0.82912211,0.17087789
Paper4-DTS-DDPG-like,1,551.70000000,0.07198581,0.07916133,0.84885287,0.15114713
Paper4-DTS-DDPG-like,2,533.30000000,0.06548188,0.08426970,0.85024842,0.14975158
Paper4-DTS-DDPG-like,3,557.90000000,0.06578100,0.08527398,0.84894502,0.15105498
