scheme,episode,reward,local_hit_rate,neighbor_fetch_rate,cloud_fetch_rate,paper_hit_rate
Our-TemporalGraph,1,373.50000000,0.05432383,0.07668870,0.86898747,0.13101253
Our-TemporalGraph,2,437.20000000,0.06483093,0.06395100,0.87121806,0.12878194
Our-TemporalGraph,3,465.70000000,0.06581143,0.06298773,0.87120083,0.12879917
Our-TemporalGraph,4,450.40000000,0.07267544,0.07046315,0.85686141,0.14313859
Our-TemporalGraph,5,502.30000000,0.06963588,0.06827130,0.86209282,0.13790718
Paper2-AWFDRL-like,1,504.60000000,0.06396895,0.09120095,0.84483010,0.15516990
Paper2-AWFDRL-like,2,548.60000000,0.07290277,0.08044320,0.84665404,0.15334596
Paper2-AWFDRL-like,3,460.80000000,0.06526018,0.10559055,0.82914927,0.17085073
Paper3-MAAFDRL-like,1,233.80000000,0.07859989,0.06638105,0.85501906,0.14498094
Paper3-MAAFDRL-like,2,308.50000000,0.08312402,0.05305594,0.86382004,0.13617996
Paper3-MAAFDRL-like,3,273.80000000,0.09178981,0.05740554,0.85080464,0.14919536
Paper4-DTS-DDPG-like,1,542.50000000,0.07233449,0.07844974,0.84921578,0.15078422
Paper4-DTS-DDPG-like,2,476.70000000,0.05303711,0.10194054,0.84502235,0.15497765
Paper4-DTS-DDPG-like,3,560.70000000,0.06743927,0.07927802,0.85328271,0.14671729
