scheme,episode,reward,local_hit_rate,neighbor_fetch_rate,cloud_fetch_rate,paper_hit_rate
Our-TemporalGraph,1,525.70000000,0.12527097,0.02047409,0.85425494,0.14574506
Our-TemporalGraph,2,525.60000000,0.10813869,0.03790156,0.85395975,0.14604025
Our-TemporalGraph,3,603.70000000,0.11258348,0.03779169,0.84962484,0.15037516
Paper2-AWFDRL-like,1,359.00000000,0.05743583,0.07948679,0.86307738,0.13692262
Paper2-AWFDRL-like,2,421.80000000,0.06922844,0.06236124,0.86841032,0.13158968
Paper2-AWFDRL-like,3,248.70000000,0.03546587,0.08676098,0.87777315,0.12222685
Paper3-MAAFDRL-like,1,300.50000000,0.08889231,0.04806824,0.86303945,0.13696055
Paper3-MAAFDRL-like,2,314.80000000,0.08646303,0.05238656,0.86115041,0.13884959
Paper3-MAAFDRL-like,3,210.20000000,0.09004147,0.05959965,0.85035888,0.14964112
Paper4-DTS-DDPG-like,1,390.40000000,0.06082061,0.07525205,0.86392734,0.13607266
Paper4-DTS-DDPG-like,2,345.20000000,0.05661638,0.07405911,0.86932451,0.13067549
Paper4-DTS-DDPG-like,3,361.20000000,0.05661116,0.06156923,0.88181962,0.11818038
